Region;Subregion;Country;Indicator;Source;Year;Calculation1;download;Info;Count;Nombre d'enregistrements;Ratio of persons held to prisions capacity (%);RemoveNULL;Total number of persons held;Total prison capacity
Oceania;Micronesia;Nauru;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Holy See;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Southern Europe;Andorra;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Western Europe;Monaco;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;21;1;133,3%;1;28;21
Europe;Eastern Europe;Ukraine;Total prison capacity;UN-CTS;2003;;;;175101;1;109,2%;1;191241;175101
Europe;Northern Europe;Faeroe Islands;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Georgia;Total prison capacity;UN-CTS;2003;;;;10895;1;56,2%;1;6119;10895
Europe;Southern Europe;San Marino;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Gibraltar;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2003;;;;396;1;82,1%;1;325;396
Asia;Western Asia;Iraq (Central Iraq);Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Asia;Western Asia;Yemen;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Asia;Central Asia;Tajikistan;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Asia;Central Asia;Kyrgyzstan;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;21584;1;78,5%;1;16934;21584
Americas;Caribbean;Curaçao;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;Jersey;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Syrian Arab Republic;Total prison capacity;UN-CTS;2003;;;;15801;1;74,9%;1;11829;15801
Asia;Eastern Asia;Japan;Total prison capacity;UN-CTS;2003;;;;69694;1;105,8%;1;73734;69694
Oceania;Polynesia;Cook Islands;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Southern Africa;Lesotho;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Puerto Rico;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Eastern Asia;Mongolia;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Americas;Caribbean;Aruba;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Western Europe;Netherlands;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;United Kingdom (Northern Ireland);Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Northern Europe;Isle of Man;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Asia;Eastern Asia;China, Hong Kong SAR;Total prison capacity;UN-CTS;2003;;;;11833;1;110,0%;1;13012;11833
Europe;Eastern Europe;Russian Federation;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Northern Europe;Estonia;Total prison capacity;UN-CTS;2003;;;;4953;1;92,4%;1;4576;4953
Oceania;Melanesia;Solomon Islands;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Bosnia and Herzegovina;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Americas;South America;Suriname;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Oceania;Polynesia;Tonga;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;Iceland;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;137;1;79,6%;1;109;137
Europe;Northern Europe;Ireland;Total prison capacity;UN-CTS;2003;;;;3620;1;89,3%;1;3234;3620
Americas;Caribbean;Saint Vincent and the Grenadines;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Central Asia;Kazakhstan;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Asia;Eastern Asia;China, Macao SAR;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Asia;Central Asia;Uzbekistan;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Eastern Africa;Zimbabwe;Total prison capacity;UN-CTS;2003;;;;17530;1;120,5%;1;21125;17530
Asia;Western Asia;Israel;Total prison capacity;UN-CTS;2003;;;;12155;1;100,6%;1;12228;12155
Europe;Eastern Europe;Bulgaria;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Northern Europe;Lithuania;Total prison capacity;UN-CTS;2003;;;;9578;1;84,2%;1;8063;9578
Americas;Caribbean;Trinidad and Tobago;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Jordan;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Eastern Europe;Belarus;Total prison capacity;UN-CTS;2003;;;;33500;1;145,1%;1;48593;33500
Europe;Southern Europe;Montenegro;Total prison capacity;UN-CTS;2003;;;;894;1;82,9%;1;741;894
Asia;Western Asia;Armenia;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Eastern Europe;Poland;Total prison capacity;UN-CTS;2003;;;;69954;1;113,3%;1;79281;69954
Asia;Central Asia;Turkmenistan;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Southern Europe;Albania;Total prison capacity;UN-CTS;2003;;;;2389;1;107,2%;1;2561;2389
Americas;Caribbean;Jamaica;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Europe;Western Europe;Switzerland;Total prison capacity;UN-CTS;2003;;;;6439;1;75,2%;1;4842;6439
Oceania;Micronesia;Micronesia (Federated States of);Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Northern Africa;Algeria;Total prison capacity;UN-CTS;2003;;;;31385;1;126,8%;1;39806;31385
Europe;Western Europe;Germany;Total prison capacity;UN-CTS;2003;;;;78753;1;102,6%;1;80829;78753
Oceania;Australia and New Zealand;New Zealand;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Americas;Caribbean;British Virgin Islands;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Eastern Europe;Slovakia;Total prison capacity;UN-CTS;2003;;;;9733;1;91,2%;1;8873;9733
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2003;;;;37473;1;91,1%;1;34153;37473
Europe;Southern Europe;Croatia;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;3154;1;88,9%;1;2805;3154
Europe;Southern Europe;Malta;Total prison capacity;UN-CTS;2003;;;;480;1;57,9%;1;278;480
Asia;South-eastern Asia;Singapore;Total prison capacity;UN-CTS;2003;;;;12370;1;140,5%;1;17375;12370
Asia;Western Asia;Azerbaijan;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Southern Europe;Spain;Total prison capacity;UN-CTS;2003;;;;45438;1;123,5%;1;56096;45438
Americas;Caribbean;Anguilla;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;United Kingdom (England and Wales);Total prison capacity;UN-CTS;2003;;;;68178;1;108,0%;1;73657;68178
Europe;Northern Europe;Sweden;Total prison capacity;UN-CTS;2003;;;;6317;1;106,9%;1;6755;6317
Europe;Northern Europe;United Kingdom (Scotland);Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;6395;1;103,3%;1;6606;6395
Africa;Eastern Africa;Rwanda;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;Denmark;Total prison capacity;UN-CTS;2003;;;;3891;1;93,6%;1;3641;3891
Oceania;Micronesia;Kiribati;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Western Europe;Luxembourg;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Oceania;Micronesia;Marshall Islands;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Greece;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Oceania;Micronesia;Northern Mariana Islands;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;Finland;Total prison capacity;UN-CTS;2003;;;;3420;1;106,5%;1;3641;3420
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
