Region,Sub-region,Country,Indicator,Year,Count
Europe,Southern Europe,Albania,Total persons held,2003,2561
Europe,Southern Europe,Albania,Total persons held,2004,2321
Europe,Southern Europe,Albania,Total persons held,2005,2592
Europe,Southern Europe,Albania,Total persons held,2006,2857
Europe,Southern Europe,Albania,Total persons held,2007,2790
Europe,Southern Europe,Albania,Total persons held,2008,4916
Europe,Southern Europe,Albania,Total persons held,2015,5981
Europe,Southern Europe,Albania,Total persons held,2016,6031
Europe,Southern Europe,Albania,Total persons held,2017,5674
Europe,Southern Europe,Albania,Number of facilities,2017,23
Europe,Southern Europe,Albania,Number of facilities,2016,23
Europe,Southern Europe,Albania,Total persons held,2009,4667
Europe,Southern Europe,Albania,Total persons held,2010,4657
Europe,Southern Europe,Albania,Total persons held,2011,4659
Europe,Southern Europe,Albania,Total persons held,2012,4618
Europe,Southern Europe,Albania,Total persons held,2013,4998
Europe,Southern Europe,Albania,Total persons held,2014,5689
Americas,South America,Argentina,Total persons held,2005,55423
Americas,South America,Argentina,Total persons held,2006,54000
Americas,South America,Argentina,Total persons held,2007,52457
Americas,South America,Argentina,Total persons held,2008,54537
Americas,South America,Argentina,Total persons held,2009,57403
Americas,South America,Argentina,Total persons held,2010,59227
Americas,South America,Argentina,Total persons held,2017,85283
Americas,South America,Argentina,Total persons held,2011,60789
Americas,South America,Argentina,Total persons held,2012,62263
Americas,South America,Argentina,Total persons held,2013,64288
Americas,South America,Argentina,Total persons held,2014,69060
Americas,South America,Argentina,Total persons held,2015,72693
Americas,South America,Argentina,Total persons held,2016,76261
Asia,Western Asia,Armenia,Total persons held,2004,2856
Asia,Western Asia,Armenia,Total persons held,2005,2710
Asia,Western Asia,Armenia,Total persons held,2006,2873
Asia,Western Asia,Armenia,Total persons held,2007,3083
Asia,Western Asia,Armenia,Total persons held,2008,3539
Asia,Western Asia,Armenia,Total persons held,2009,3965
Asia,Western Asia,Armenia,Total persons held,2016,3833
Asia,Western Asia,Armenia,Total persons held,2017,3536
Asia,Western Asia,Armenia,Total persons held,2015,3873
Asia,Western Asia,Armenia,Total persons held,2014,3880
Asia,Western Asia,Armenia,Total persons held,2013,3923
Asia,Western Asia,Armenia,Total persons held,2012,4756
Asia,Western Asia,Armenia,Total persons held,2011,5142
Asia,Western Asia,Armenia,Total persons held,2010,4313
Oceania,Australia and New Zealand,Australia,Total persons held,2003,23555
Oceania,Australia and New Zealand,Australia,Total persons held,2004,24171
Oceania,Australia and New Zealand,Australia,Total persons held,2007,27224
Oceania,Australia and New Zealand,Australia,Total persons held,2008,27615
Oceania,Australia and New Zealand,Australia,Total persons held,2009,29317
Oceania,Australia and New Zealand,Australia,Total persons held,2010,29700
Oceania,Australia and New Zealand,Australia,Total persons held,2017,41202
Oceania,Australia and New Zealand,Australia,Number of facilities,2017,114
Oceania,Australia and New Zealand,Australia,Total persons held,2011,29106
Oceania,Australia and New Zealand,Australia,Total persons held,2012,29381
Oceania,Australia and New Zealand,Australia,Total persons held,2015,36134
Oceania,Australia and New Zealand,Australia,Total persons held,2016,38845
Oceania,Australia and New Zealand,Australia,Total persons held,2014,33789
Oceania,Australia and New Zealand,Australia,Total persons held,2013,30773
Europe,Western Europe,Austria,Total persons held,2005,8956
Europe,Western Europe,Austria,Total persons held,2006,9005
Europe,Western Europe,Austria,Total persons held,2007,9012
Europe,Western Europe,Austria,Total persons held,2008,8248
Europe,Western Europe,Austria,Total persons held,2009,8708
Europe,Western Europe,Austria,Total persons held,2010,8813
Europe,Western Europe,Austria,Number of facilities,2016,27
Europe,Western Europe,Austria,Number of facilities,2015,27
Europe,Western Europe,Austria,Number of facilities,2017,27
Europe,Western Europe,Austria,Total persons held,2011,8954
Europe,Western Europe,Austria,Total persons held,2012,8805
Europe,Western Europe,Austria,Total persons held,2013,8862
Europe,Western Europe,Austria,Total persons held,2014,8692
Europe,Western Europe,Austria,Total persons held,2016,8619
Europe,Western Europe,Austria,Total persons held,2017,8852
Asia,Western Asia,Azerbaijan,Total persons held,2004,18504
Asia,Western Asia,Azerbaijan,Total persons held,2005,17845
Asia,Western Asia,Azerbaijan,Total persons held,2006,18656
Asia,Western Asia,Azerbaijan,Total persons held,2007,19559
Asia,Western Asia,Azerbaijan,Total persons held,2013,20669
Asia,Western Asia,Azerbaijan,Total persons held,2012,20782
Asia,Western Asia,Azerbaijan,Total persons held,2017,23319
Asia,Western Asia,Azerbaijan,Total persons held,2011,20546
Asia,Western Asia,Azerbaijan,Total persons held,2010,21971
Asia,Western Asia,Azerbaijan,Total persons held,2009,20651
Asia,Western Asia,Azerbaijan,Total persons held,2008,20986
Asia,Western Asia,Azerbaijan,Total persons held,2014,22526
Asia,Western Asia,Azerbaijan,Total persons held,2016,23311
Americas,Caribbean,Barbados,Total persons held,2007,1010
Americas,Caribbean,Barbados,Total persons held,2008,1046
Americas,Caribbean,Barbados,Total persons held,2009,898
Americas,Caribbean,Barbados,Total persons held,2010,910
Americas,Caribbean,Barbados,Total persons held,2011,1060
Americas,Caribbean,Barbados,Total persons held,2012,1045
Americas,Caribbean,Barbados,Number of facilities,2014,1
Americas,Caribbean,Barbados,Total persons held,2013,908
Americas,Caribbean,Barbados,Total persons held,2014,864
Americas,Caribbean,Barbados,Total persons held,2015,954
Americas,Caribbean,Barbados,Number of facilities,2017,1
Americas,Caribbean,Barbados,Number of facilities,2016,1
Americas,Caribbean,Barbados,Number of facilities,2015,1
Africa,Western Africa,Benin,Total persons held,2017,7801
Americas,Northern America,Bermuda,Total persons held,2003,325
Americas,Northern America,Bermuda,Total persons held,2004,364
Americas,Northern America,Bermuda,Total persons held,2017,200
Americas,Northern America,Bermuda,Number of facilities,2017,4
Europe,Eastern Europe,Bulgaria,Total persons held,2003,10066
Europe,Eastern Europe,Bulgaria,Total persons held,2004,10871
Europe,Eastern Europe,Bulgaria,Total persons held,2005,11436
Europe,Eastern Europe,Bulgaria,Total persons held,2006,11058
Europe,Eastern Europe,Bulgaria,Total persons held,2007,10271
Europe,Eastern Europe,Bulgaria,Total persons held,2008,9408
Europe,Eastern Europe,Bulgaria,Number of facilities,2014,68
Europe,Eastern Europe,Bulgaria,Total persons held,2015,7408
Europe,Eastern Europe,Bulgaria,Total persons held,2016,7345
Europe,Eastern Europe,Bulgaria,Total persons held,2017,6988
Europe,Eastern Europe,Bulgaria,Number of facilities,2017,68
Europe,Eastern Europe,Bulgaria,Number of facilities,2016,68
Europe,Eastern Europe,Bulgaria,Number of facilities,2015,68
Europe,Eastern Europe,Bulgaria,Total persons held,2009,9006
Europe,Eastern Europe,Bulgaria,Total persons held,2010,9379
Europe,Eastern Europe,Bulgaria,Total persons held,2011,9885
Europe,Eastern Europe,Bulgaria,Total persons held,2012,9493
Europe,Eastern Europe,Bulgaria,Total persons held,2013,8834
Europe,Eastern Europe,Bulgaria,Total persons held,2014,7870
Africa,Middle Africa,Cameroon,Total persons held,2009,23368
Africa,Middle Africa,Cameroon,Total persons held,2015,28120
Africa,Middle Africa,Cameroon,Total persons held,2014,25908
Africa,Middle Africa,Cameroon,Total persons held,2013,25314
Africa,Middle Africa,Cameroon,Total persons held,2012,22891
Africa,Middle Africa,Cameroon,Total persons held,2011,22812
Africa,Middle Africa,Cameroon,Total persons held,2010,23766
Africa,Middle Africa,Cameroon,Total persons held,2017,31836
Africa,Middle Africa,Cameroon,Total persons held,2016,29341
Americas,South America,Chile,Total persons held,2003,38086
Americas,South America,Chile,Total persons held,2004,38064
Americas,South America,Chile,Total persons held,2005,38849
Americas,South America,Chile,Total persons held,2006,42532
Americas,South America,Chile,Total persons held,2007,48090
Americas,South America,Chile,Total persons held,2008,53541
Americas,South America,Chile,Total persons held,2016,47305
Americas,South America,Chile,Total persons held,2015,46235
Americas,South America,Chile,Total persons held,2014,47683
Americas,South America,Chile,Number of facilities,2017,84
Americas,South America,Chile,Number of facilities,2016,82
