Region,Sub-region,Country,Year,download,Icon,Clear,Count,Rate
Europe,Southern Europe,Albania,2015,,,11.797168956,341,11.8
Europe,Southern Europe,Albania,2016,,,12.645391690,365,12.6
Europe,Southern Europe,Albania,2017,,,13.140700146,379,13.1
Europe,Southern Europe,Albania,2018,,,12.175937088,351,12.2
Asia,Western Asia,Armenia,2013,,,2.070684185,60,2.1
Asia,Western Asia,Armenia,2014,,,0.309023167,9,0.3
Asia,Western Asia,Armenia,2015,,,0.136726007,4,0.1
Asia,Western Asia,Armenia,2016,,,0.136232961,4,0.1
Asia,Western Asia,Armenia,2017,,,0,0,0.0
Asia,Western Asia,Armenia,2018,,,0.271026489,8,0.3
Europe,Western Europe,Austria,2013,,,3.926981060,336,3.9
Europe,Western Europe,Austria,2014,,,4.944745946,426,4.9
Europe,Western Europe,Austria,2015,,,5.265785633,457,5.3
Europe,Western Europe,Austria,2016,,,6.424835258,562,6.4
Europe,Western Europe,Austria,2017,,,7.052232553,622,7.1
Europe,Western Europe,Austria,2018,,,7.490398288,666,7.5
Asia,Western Asia,Azerbaijan,2016,,,0.051355577,5,0.1
Asia,Western Asia,Azerbaijan,2017,,,0.020314229,2,0.0
Asia,Western Asia,Azerbaijan,2018,,,0.060304314,6,0.1
Americas,Caribbean,Barbados,2016,,,1.399589920,4,1.4
Europe,Southern Europe,Bosnia and Herzegovina,2016,,,0.561090500,19,0.6
Europe,Southern Europe,Bosnia and Herzegovina,2018,,,0.752121962,25,0.8
Americas,Northern America,Canada,2013,,,0.745115527,263,0.7
Americas,Northern America,Canada,2014,,,0.773882259,276,0.8
Americas,Northern America,Canada,2015,,,0.688378915,248,0.7
Americas,Northern America,Canada,2016,,,0.651404202,237,0.7
Americas,Northern America,Canada,2017,,,0.833059050,306,0.8
Americas,South America,Colombia,2013,,,0.926971627,431,0.9
Americas,South America,Colombia,2014,,,0.830357707,390,0.8
Americas,South America,Colombia,2015,,,0.940643303,447,0.9
Americas,South America,Colombia,2016,,,1.012972483,488,1.0
Americas,South America,Colombia,2017,,,0.952773511,466,1.0
Americas,South America,Colombia,2018,,,1.159862476,576,1.2
Europe,Southern Europe,Croatia,2016,,,1.378126893,58,1.4
Europe,Southern Europe,Croatia,2017,,,0.143442971,6,0.1
Europe,Southern Europe,Croatia,2018,,,0.625540280,26,0.6
Europe,Northern Europe,Denmark,2013,,,0.106417848,6,0.1
Europe,Northern Europe,Denmark,2014,,,0.017654747,1,0.0
Europe,Northern Europe,Denmark,2015,,,0.298838310,17,0.3
Europe,Northern Europe,Denmark,2016,,,0.070036030,4,0.1
Europe,Northern Europe,Denmark,2017,,,1.971293432,113,2.0
Europe,Northern Europe,Denmark,2018,,,1.825410444,105,1.8
Americas,Caribbean,Dominican Republic,2013,,,0.597120090,60,0.6
Americas,Caribbean,Dominican Republic,2014,,,1.072287948,109,1.1
Americas,Caribbean,Dominican Republic,2015,,,0.437672090,45,0.4
Americas,Caribbean,Dominican Republic,2016,,,0.096174746,10,0.1
Americas,South America,Ecuador,2015,,,0.567480178,92,0.6
Americas,South America,Ecuador,2016,,,0.557875996,92,0.6
Americas,South America,Ecuador,2017,,,0.756611714,127,0.8
Americas,South America,Ecuador,2018,,,0.597037290,102,0.6
Europe,Northern Europe,Finland,2013,,,3.364598977,183,3.4
Europe,Northern Europe,Finland,2014,,,3.863471155,211,3.9
Europe,Northern Europe,Finland,2015,,,3.211017878,176,3.2
Europe,Northern Europe,Finland,2016,,,6.730069989,370,6.7
Europe,Northern Europe,Finland,2017,,,8.582255017,473,8.6
Europe,Northern Europe,Finland,2018,,,7.713778964,426,7.7
Europe,Western Europe,Germany,2013,,,10.020404224,8134,10.0
Europe,Western Europe,Germany,2014,,,9.991360383,8138,10.0
Europe,Western Europe,Germany,2015,,,11.787877865,9641,11.8
Europe,Western Europe,Germany,2016,,,14.041210179,11541,14.0
Europe,Western Europe,Germany,2017,,,12.116129502,10015,12.1
Europe,Western Europe,Germany,2018,,,10.408494929,8652,10.4
Americas,Central America,Guatemala,2013,,,1.750469036,273,1.8
Americas,Central America,Guatemala,2014,,,2.279686797,363,2.3
Americas,Central America,Guatemala,2015,,,2.159678374,351,2.2
Americas,Central America,Guatemala,2016,,,1.803042619,299,1.8
Americas,South America,Guyana,2016,,,0,0,0.0
Americas,South America,Guyana,2018,,,0,0,0.0
Americas,Central America,Honduras,2013,,,0.170483140,15,0.2
Americas,Central America,Honduras,2014,,,0.133994686,12,0.1
Americas,Central America,Honduras,2015,,,0.175575206,16,0.2
Americas,Central America,Honduras,2016,,,0.161798439,15,0.2
Americas,Central America,Honduras,2018,,,0.041720891,4,0.0
Europe,Eastern Europe,Hungary,2013,,,0.132195463,13,0.1
Europe,Eastern Europe,Hungary,2014,,,0.163182200,16,0.2
Europe,Eastern Europe,Hungary,2015,,,0.173861019,17,0.2
Europe,Eastern Europe,Hungary,2016,,,0.522917634,51,0.5
Europe,Eastern Europe,Hungary,2017,,,0.894158187,87,0.9
Europe,Eastern Europe,Hungary,2018,,,2.482616022,241,2.5
Asia,South-Eastern Asia,Indonesia,2016,,,0.060407621,158,0.1
Europe,Southern Europe,Italy,2013,,,3.142927756,1891,3.1
Europe,Southern Europe,Italy,2014,,,2.655206240,1604,2.7
Europe,Southern Europe,Italy,2015,,,3.392293205,2055,3.4
Europe,Southern Europe,Italy,2016,,,2.975451127,1805,3.0
Europe,Southern Europe,Italy,2017,,,3.199080194,1941,3.2
Europe,Southern Europe,Italy,2018,,,3.231218153,1959,3.2
Asia,Eastern Asia,Japan,2016,,,0.390565992,499,0.4
Europe,Northern Europe,Latvia,2016,,,6.078211385,120,6.1
Europe,Northern Europe,Latvia,2017,,,6.304145822,123,6.3
Europe,Northern Europe,Latvia,2018,,,10.163544920,196,10.2
Asia,Western Asia,Lebanon,2015,,,0.566383082,37,0.6
Europe,Northern Europe,Lithuania,2013,,,1.827887447,55,1.8
Europe,Northern Europe,Lithuania,2014,,,2.019183590,60,2.0
Europe,Northern Europe,Lithuania,2015,,,3.342574301,98,3.3
Europe,Northern Europe,Lithuania,2016,,,1.107436958,32,1.1
Europe,Northern Europe,Lithuania,2017,,,0.738028389,21,0.7
Europe,Northern Europe,Lithuania,2018,,,1.963395174,55,2.0
Europe,Western Europe,Monaco,2014,,,133.976420150,50,134.0
Europe,Western Europe,Monaco,2015,,,143.148742147,54,143.1
Europe,Western Europe,Monaco,2016,,,123.456790123,47,123.5
Asia,Eastern Asia,Mongolia,2016,,,0,0,0.0
Asia,Eastern Asia,Mongolia,2017,,,0.096345673,3,0.1
Asia,Eastern Asia,Mongolia,2018,,,0.757046685,24,0.8
Asia,South-Eastern Asia,Myanmar,2015,,,0.001898228,1,0.0
Asia,South-Eastern Asia,Myanmar,2016,,,0.005655554,3,0.0
Asia,South-Eastern Asia,Myanmar,2018,,,0.040961996,22,0.0
Europe,Western Europe,Netherlands,2013,,,3.787809073,638,3.8
Europe,Western Europe,Netherlands,2014,,,3.877455821,655,3.9
Europe,Western Europe,Netherlands,2015,,,3.365116961,570,3.4
Europe,Western Europe,Netherlands,2016,,,3.592190930,610,3.6
Europe,Western Europe,Netherlands,2017,,,4.112484681,700,4.1
Europe,Western Europe,Netherlands,2018,,,5.041161671,860,5.0
Europe,Northern Europe,Norway,2016,,,2.171035717,114,2.2
Europe,Northern Europe,Norway,2017,,,2.190198334,116,2.2
Europe,Northern Europe,Norway,2018,,,1.760972356,94,1.8
Europe,Eastern Europe,Poland,2013,,,0.757376427,289,0.8
Europe,Eastern Europe,Poland,2014,,,0.590689164,225,0.6
Europe,Eastern Europe,Poland,2015,,,1.196295533,455,1.2
Europe,Eastern Europe,Poland,2016,,,0.889726085,338,0.9
Europe,Eastern Europe,Poland,2017,,,0.977520197,371,1.0
Europe,Eastern Europe,Poland,2018,,,1.263133023,479,1.3
Europe,Southern Europe,Portugal,2013,,,0.257805294,27,0.3
Europe,Southern Europe,Portugal,2014,,,0.191971373,20,0.2
Europe,Southern Europe,Portugal,2015,,,0.241118404,25,0.2
Europe,Southern Europe,Portugal,2016,,,0.174325023,18,0.2
Europe,Southern Europe,Portugal,2017,,,0.242989037,25,0.2
Europe,Southern Europe,Portugal,2018,,,0.302256491,31,0.3
Europe,Eastern Europe,Romania,2015,,,4.973606261,991,5.0
Europe,Eastern Europe,Romania,2016,,,4.819087222,954,4.8
Europe,Eastern Europe,Romania,2017,,,3.235987437,636,3.2
Europe,Eastern Europe,Romania,2018,,,2.245450272,438,2.2
Europe,Eastern Europe,Russian Federation,2013,,,2.779134664,4011,2.8
Europe,Eastern Europe,Russian Federation,2014,,,2.563857967,3709,2.6
Europe,Eastern Europe,Russian Federation,2015,,,2.321617877,3366,2.3
Europe,Eastern Europe,Russian Federation,2016,,,2.137319877,3105,2.1
