Region;Subregion;Country;Indicator;Year;Source;download;Icon;Homicide filtered by Indicator;Nombre d'enregistrements;value
Asia;Southern Asia;Afghanistan;Homicide count;2009;NSO;;;;1;1115
Asia;Southern Asia;Afghanistan;Homicide count;2010;NSO;;;;1;983
Asia;Southern Asia;Afghanistan;Homicide count;2011;NSO;;;;1;1231
Asia;Southern Asia;Afghanistan;Homicide count;2012;NSO;;;;1;1948
Asia;Southern Asia;Afghanistan;Homicide count;2015;NSO;;;;1;3367
Asia;Southern Asia;Afghanistan;Homicide count;2016;NSO;;;;1;2318
Asia;Southern Asia;Afghanistan;Homicide count;2017;NSO;;;;1;2424
Asia;Southern Asia;Afghanistan;Homicide count;2018;NSO;;;;1;2474
Asia;Southern Asia;Afghanistan;Homicide rate;2009;NSO;;;3,9;1;3,9
Asia;Southern Asia;Afghanistan;Homicide rate;2010;NSO;;;3,4;1;3,4
Asia;Southern Asia;Afghanistan;Homicide rate;2011;NSO;;;4,1;1;4,1
Asia;Southern Asia;Afghanistan;Homicide rate;2012;NSO;;;6,3;1;6,3
Asia;Southern Asia;Afghanistan;Homicide rate;2015;NSO;;;9,8;1;9,8
Asia;Southern Asia;Afghanistan;Homicide rate;2016;NSO;;;6,6;1;6,6
Asia;Southern Asia;Afghanistan;Homicide rate;2017;NSO;;;6,7;1;6,7
Asia;Southern Asia;Afghanistan;Homicide rate;2018;NSO;;;6,7;1;6,7
Europe;Southern Europe;Albania;Homicide count;1992;MD;;;;1;130
Europe;Southern Europe;Albania;Homicide count;1993;MD;;;;1;191
Europe;Southern Europe;Albania;Homicide count;1994;MD;;;;1;112
Europe;Southern Europe;Albania;Homicide count;1995;MD;;;;1;259
Europe;Southern Europe;Albania;Homicide count;1996;MD;;;;1;272
Europe;Southern Europe;Albania;Homicide count;1997;MD;;;;1;1334
Europe;Southern Europe;Albania;Homicide count;1998;MD;;;;1;660
Europe;Southern Europe;Albania;Homicide count;1999;MD;;;;1;532
Europe;Southern Europe;Albania;Homicide count;2000;MD;;;;1;131
Europe;Southern Europe;Albania;Homicide count;2001;MD;;;;1;220
Europe;Southern Europe;Albania;Homicide count;2002;MD;;;;1;216
Europe;Southern Europe;Albania;Homicide count;2003;MD;;;;1;166
Europe;Southern Europe;Albania;Homicide count;2004;MD;;;;1;131
Europe;Southern Europe;Albania;Homicide count;2005;CTS;;;;1;154
Europe;Southern Europe;Albania;Homicide count;2006;CTS;;;;1;95
Europe;Southern Europe;Albania;Homicide count;2007;CTS;;;;1;105
Europe;Southern Europe;Albania;Homicide count;2008;CTS;;;;1;93
Europe;Southern Europe;Albania;Homicide count;2009;CTS;;;;1;85
Europe;Southern Europe;Albania;Homicide count;2010;CTS;;;;1;127
Europe;Southern Europe;Albania;Homicide count;2011;CTS;;;;1;142
Europe;Southern Europe;Albania;Homicide count;2012;CTS;;;;1;157
Europe;Southern Europe;Albania;Homicide count;2013;CTS;;;;1;124
Europe;Southern Europe;Albania;Homicide count;2014;CTS;;;;1;117
Europe;Southern Europe;Albania;Homicide count;2015;CTS;;;;1;64
Europe;Southern Europe;Albania;Homicide count;2016;CTS;;;;1;79
Europe;Southern Europe;Albania;Homicide count;2017;CTS;;;;1;58
Europe;Southern Europe;Albania;Homicide count;2018;NSO;;;;1;66
Europe;Southern Europe;Albania;Homicide rate;1992;MD;;;4,0;1;4
Europe;Southern Europe;Albania;Homicide rate;1993;MD;;;6,0;1;6
Europe;Southern Europe;Albania;Homicide rate;1994;MD;;;3,6;1;3,6
Europe;Southern Europe;Albania;Homicide rate;1995;MD;;;8,3;1;8,3
Europe;Southern Europe;Albania;Homicide rate;1996;MD;;;8,8;1;8,8
Europe;Southern Europe;Albania;Homicide rate;1997;MD;;;43,0;1;43
Europe;Southern Europe;Albania;Homicide rate;1998;MD;;;21,2;1;21,2
Europe;Southern Europe;Albania;Homicide rate;1999;MD;;;17,0;1;17
Europe;Southern Europe;Albania;Homicide rate;2000;MD;;;4,2;1;4,2
Europe;Southern Europe;Albania;Homicide rate;2001;MD;;;7,0;1;7
Europe;Southern Europe;Albania;Homicide rate;2002;MD;;;6,9;1;6,9
Europe;Southern Europe;Albania;Homicide rate;2003;MD;;;5,3;1;5,3
Europe;Southern Europe;Albania;Homicide rate;2004;MD;;;4,2;1;4,2
Europe;Southern Europe;Albania;Homicide rate;2005;CTS;;;5,0;1;5
Europe;Southern Europe;Albania;Homicide rate;2006;CTS;;;3,1;1;3,1
Europe;Southern Europe;Albania;Homicide rate;2007;CTS;;;3,5;1;3,5
Europe;Southern Europe;Albania;Homicide rate;2008;CTS;;;3,1;1;3,1
Europe;Southern Europe;Albania;Homicide rate;2009;CTS;;;2,9;1;2,9
Europe;Southern Europe;Albania;Homicide rate;2010;CTS;;;4,3;1;4,3
Europe;Southern Europe;Albania;Homicide rate;2011;CTS;;;4,8;1;4,8
Europe;Southern Europe;Albania;Homicide rate;2012;CTS;;;5,4;1;5,4
Europe;Southern Europe;Albania;Homicide rate;2013;CTS;;;4,3;1;4,3
Europe;Southern Europe;Albania;Homicide rate;2014;CTS;;;4,0;1;4
Europe;Southern Europe;Albania;Homicide rate;2015;CTS;;;2,2;1;2,2
Europe;Southern Europe;Albania;Homicide rate;2016;CTS;;;2,7;1;2,7
Europe;Southern Europe;Albania;Homicide rate;2017;CTS;;;2,0;1;2
Europe;Southern Europe;Albania;Homicide rate;2018;NSO;;;2,3;1;2,3
Africa;Northern Africa;Algeria;Homicide count;2003;CTS;;;;1;650
Africa;Northern Africa;Algeria;Homicide count;2004;CTS;;;;1;449
Africa;Northern Africa;Algeria;Homicide count;2005;CTS;;;;1;204
Africa;Northern Africa;Algeria;Homicide count;2006;CTS;;;;1;312
Africa;Northern Africa;Algeria;Homicide count;2007;CTS;;;;1;271
Africa;Northern Africa;Algeria;Homicide count;2008;CTS;;;;1;328
Africa;Northern Africa;Algeria;Homicide count;2009;CTS;;;;1;277
Africa;Northern Africa;Algeria;Homicide count;2010;CTS;;;;1;254
Africa;Northern Africa;Algeria;Homicide count;2011;CTS;;;;1;280
Africa;Northern Africa;Algeria;Homicide count;2012;CTS;;;;1;523
Africa;Northern Africa;Algeria;Homicide count;2013;CTS;;;;1;480
Africa;Northern Africa;Algeria;Homicide count;2014;CTS;;;;1;577
Africa;Northern Africa;Algeria;Homicide count;2015;CTS;;;;1;542
Africa;Northern Africa;Algeria;Homicide rate;2003;CTS;;;2,0;1;2
Africa;Northern Africa;Algeria;Homicide rate;2004;CTS;;;1,4;1;1,4
Africa;Northern Africa;Algeria;Homicide rate;2005;CTS;;;0,6;1;0,6
Africa;Northern Africa;Algeria;Homicide rate;2006;CTS;;;0,9;1;0,9
Africa;Northern Africa;Algeria;Homicide rate;2007;CTS;;;0,8;1;0,8
Africa;Northern Africa;Algeria;Homicide rate;2008;CTS;;;0,9;1;0,9
Africa;Northern Africa;Algeria;Homicide rate;2009;CTS;;;0,8;1;0,8
Africa;Northern Africa;Algeria;Homicide rate;2010;CTS;;;0,7;1;0,7
Africa;Northern Africa;Algeria;Homicide rate;2011;CTS;;;0,8;1;0,8
Africa;Northern Africa;Algeria;Homicide rate;2012;CTS;;;1,4;1;1,4
Africa;Northern Africa;Algeria;Homicide rate;2013;CTS;;;1,3;1;1,3
Africa;Northern Africa;Algeria;Homicide rate;2014;CTS;;;1,5;1;1,5
Africa;Northern Africa;Algeria;Homicide rate;2015;CTS;;;1,4;1;1,4
Europe;Southern Europe;Andorra;Homicide count;2004;Interpol;;;;1;1
Europe;Southern Europe;Andorra;Homicide count;2007;CTS;;;;1;0
Europe;Southern Europe;Andorra;Homicide count;2008;CTS;;;;1;1
Europe;Southern Europe;Andorra;Homicide count;2009;CTS;;;;1;0
Europe;Southern Europe;Andorra;Homicide count;2010;CTS;;;;1;0
Europe;Southern Europe;Andorra;Homicide count;2011;CTS;;;;1;1
Europe;Southern Europe;Andorra;Homicide count;2012;CTS;;;;1;0
Europe;Southern Europe;Andorra;Homicide count;2013;CTS;;;;1;0
Europe;Southern Europe;Andorra;Homicide count;2014;CTS;;;;1;0
Europe;Southern Europe;Andorra;Homicide count;2015;CTS;;;;1;0
Europe;Southern Europe;Andorra;Homicide rate;2004;Interpol;;;1,3;1;1,3
Europe;Southern Europe;Andorra;Homicide rate;2007;CTS;;;0,0;1;0
Europe;Southern Europe;Andorra;Homicide rate;2008;CTS;;;1,2;1;1,2
Europe;Southern Europe;Andorra;Homicide rate;2009;CTS;;;0,0;1;0
Europe;Southern Europe;Andorra;Homicide rate;2010;CTS;;;0,0;1;0
Europe;Southern Europe;Andorra;Homicide rate;2011;CTS;;;1,2;1;1,2
Europe;Southern Europe;Andorra;Homicide rate;2012;CTS;;;0,0;1;0
Europe;Southern Europe;Andorra;Homicide rate;2013;CTS;;;0,0;1;0
Europe;Southern Europe;Andorra;Homicide rate;2014;CTS;;;0,0;1;0
Europe;Southern Europe;Andorra;Homicide rate;2015;CTS;;;0,0;1;0
Africa;Middle Africa;Angola;Homicide count;2011;NSO;;;;1;1055
Africa;Middle Africa;Angola;Homicide count;2012;NSO;;;;1;1217
Africa;Middle Africa;Angola;Homicide rate;2011;NSO;;;4,4;1;4,4
Africa;Middle Africa;Angola;Homicide rate;2012;NSO;;;4,8;1;4,8
Americas;Caribbean;Anguilla;Homicide count;1990;WHO;;;;1;0
Americas;Caribbean;Anguilla;Homicide count;1991;WHO;;;;1;1
Americas;Caribbean;Anguilla;Homicide count;1992;WHO;;;;1;0
Americas;Caribbean;Anguilla;Homicide count;1993;WHO;;;;1;1
Americas;Caribbean;Anguilla;Homicide count;1994;WHO;;;;1;0
Americas;Caribbean;Anguilla;Homicide count;1995;NSO;;;;1;1
Americas;Caribbean;Anguilla;Homicide count;1996;NSO;;;;1;0
Americas;Caribbean;Anguilla;Homicide count;1997;NSO;;;;1;1
Americas;Caribbean;Anguilla;Homicide count;1998;NSO;;;;1;0
Americas;Caribbean;Anguilla;Homicide count;1999;NSO;;;;1;0
Americas;Caribbean;Anguilla;Homicide count;2000;NSO;;;;1;1
