pageid,ns,title
50037005,0,List of people named in the Panama Papers
36165132,0,Sergio Abreu (politician)
471357,0,Ali Abu Al-Ragheb
4398024,0,Atiku Abubakar
50131672,0,Omar Aggad
18961645,0,Alberto Alcocer
22765442,0,Ilham Aliyev
61529708,0,Arzu Aliyeva
33155475,0,Leyla Aliyeva
5204649,0,Mehriban Aliyeva
440288,0,Ayad Allawi
19203717,0,Agustín Almodóvar
5195275,0,Pedro Almodóvar
29107300,0,Alfonso de Angoitia
1309963,0,Kojo Annan
9166749,0,Imanol Arias
56732710,0,Gustavo Arribas
1571884,0,Michael Ashcroft
2840550,0,Mattias Asper
13490069,0,Richard Attias
50242606,0,Gérard Autajon
1828,0,Amitabh Bachchan
50077295,0,Shishir Bajoria
414434,0,Tony Baldry
20492072,0,Patrick Balkany
35183107,0,Bandar bin Khalid Al Saud (born 1965)
735982,0,Bank Leumi
44002461,0,Arron Banks
10934571,0,Joaquim Barbosa
298988,0,David and Frederick Barclay
22572396,0,Bjarni Benediktsson (born 1970)
1896352,0,Tomáš Berdych
26909,0,Silvio Berlusconi
56835219,0,Javier Bertucci
193737,0,Benazir Bhutto
50157746,0,Miguel Blesa
10946169,0,Louise Blouin
5184765,0,Pedro Bordaberry
47817765,0,Elias Bou Saab
50042323,0,Abdeslam Bouchouareb
50135045,0,Robbyanto Budiman
15242485,0,Paul Burrell
20488132,0,Jérôme Cahuzac
29402583,0,Family of David Cameron
50109310,0,Newton Cardoso Jr.
6526544,0,Rafael Caro Quintero
50502342,0,Juan Luis Cebrián
50542055,0,Ronald Chagoury
144936,0,Jackie Chan
50063285,0,Frédéric Chatillon
50542006,0,Adriano Chimento
16864512,0,Galo Chiriboga
5166632,0,Patokh Chodiev
50069659,0,Jordi Cinca
556903,0,Andy Cole
18961719,0,Alberto Cortina
276890,0,Simon Cowell
6018692,0,Àlex Crivillé
46276693,0,Eduardo Cunha
50042344,0,Juan Pedro Damiani
28021026,0,David Davies (electrical engineer)
50041903,0,Pedro Delgado Campaña
50501871,0,Eduardo Deluca
50042639,0,Deng Jiagui
375154,0,Dermot Desmond
1648616,0,Franco Dragone
39425568,0,Ana Duato
23612132,0,Moonis Elahi
50058958,0,Jacob Engel
350841,0,Emilio Estevez
759285,0,Nick Faldo
1644780,0,Cristina Fernández de Kirchner
39767856,0,Eugenio Figueredo
50873245,0,Kjell G. Finstad
2073557,0,Bobby Fischer
32423309,0,Frank Flannery
50037252,0,Ramón Fonseca Mora
6950349,0,Daniel Fonseca
842379,0,Diego Forlán
7962578,0,Rocco Forte
6173352,0,Eufemiano Fuentes
5217739,0,Yoav Galant
7472459,0,Adriano Galliani
25715987,0,Abasaheb Garware
320917,0,David Geffen
33762742,0,Dan Gertler
50137824,0,Nicola Di Girolamo
11888608,0,Frank Giustra
7560175,0,Glencore
50505592,0,Peter Goldstein
53554578,0,Gerardo González Valencia
39912602,0,Ignacio González (politician)
54438639,0,Basil Goulandris
44245973,0,Ronald Grierson
50044313,0,Néstor Grindetti
20259534,0,Jean-Noël Guérini
319938,0,Juan Luis Guerra
30334037,0,Stuart Gulliver
21339930,0,Sigmundur Davíð Gunnlaugsson
20510186,0,Sadruddin Hashwani
1102633,0,Gabriel Heinze
35998793,0,Antonio Hernández Mancha
24515563,0,David Ho (businessman)
37671378,0,"Zsolt Horváth (politician, born 1964)"
50044334,0,Solomon Humes
28752058,0,Ian Cameron (stockbroker)
3076848,0,James Ibori
9286117,0,Gianni Infantino
50054473,0,Júlíus Vífill Ingvarsson
9973863,0,Bruno Itoua
20891303,0,Bidzina Ivanishvili
19417509,0,John Jennings (businessman)
46817240,0,Hugo Jinkis
50058224,0,Mariano Jinkis
991041,0,Juanes
50045535,0,Jaynet Kabila
2666291,0,Nihat Kahveci
50072240,0,Onkar Kanwar
1533025,0,Valeri Karpin
346979,0,Kevin Keegan
50087973,0,Anurag Kejriwal
1129854,0,Khalifa bin Zayed Al Nahyan
56682115,0,Aleem Khan
3721207,0,Anwar Saifullah Khan
50077358,0,Aziz Khan (businessman)
38469779,0,Humayun Saifullah Khan
3721124,0,Salim Saifullah Khan
50280406,0,Kim Chol-sam
50042225,0,Ian Kirby
19305504,0,Waldemar Kita
66362337,0,Muhammad Bashar Kiwan
3618338,0,Sokratis Kokkalis
5994529,0,Tayfun Korkut
5678334,0,Darko Kovačević
50045258,0,John Addo Kufuor
1438230,0,Pavlo Lazarenko
49955,0,Jean-Marie Le Pen
4043610,0,Nicolás Leoz
2768380,0,Lev Avnerovich Leviev
27135842,0,Li Xiaolin
48483924,0,Edison Lobão
50085198,0,Mohan Lal Lohia
29070587,0,Carmen Lomana
45457060,0,Darío Loperfido
3144676,0,Robert Louis-Dreyfus
156589,0,Alexander Lukashenko
50050205,0,João Lyra
3592608,0,Mauricio Macri
36716212,0,Mounir Majidi
23821002,0,Hafez Makhlouf
30853349,0,Rami Makhlouf
16440590,0,Rehman Malik
24567815,0,Vijay Mallya
50107230,0,Durgham Maraee
572995,0,Imee Marcos
22485940,0,Irene Marcos
50054233,0,Soulieman Marouf
421704,0,Michael Mates
50085034,0,Bert Meerstadt
56764965,0,Russell Mehta
10658624,0,Anthony Merchant
2150841,0,Lionel Messi
213199,0,Heather Mills
50085311,0,Abdul Rashid Mir
40248549,0,Iqbal Mirchi
10697763,0,Ahmed al-Mirghani
39120555,0,Konrad Mizzi
700275,0,Luca Cordero di Montezemolo
50541065,0,Richard Morris (industrialist)
50037256,0,Jürgen Mossack
1628686,0,Dorrit Moussaieff
1168831,0,Alaa Mubarak
50042196,0,Mohammad Mustafa (economist)
8475841,0,David Nahmad
50066275,0,Nazifuddin Najib
41617792,0,Joseph Nakash
34181325,0,Maryam Nawaz
