pageid,ns,title,references
50037005,0,List of people named in the Panama Papers,
36165132,0,Sergio Abreu (politician),
471357,0,Ali Abu Al-Ragheb,"['https://panamapapers.icij.org/the_power_players/', 'https://www.wikidata.org/wiki/Q2509606?uselang=fr#P106', 'https://www.wikidata.org/wiki/Q2509606?uselang=fr#P1559', 'https://www.wikidata.org/wiki/Q2509606?uselang=fr#P19', 'https://www.wikidata.org/wiki/Q2509606?uselang=fr#P27', 'https://www.wikidata.org/wiki/Q2509606?uselang=fr#P569', 'https://www.wikidata.org/wiki/Q2509606?uselang=fr#P69']"
4398024,0,Atiku Abubakar,"['http://www.lefigaro.fr/international/2019/02/15/01003-20190215ARTFIG00261-entre-buhari-et-abubakar-le-duel-des-contraires-pour-la-presidence-du-nigeria.php', 'http://id.loc.gov/authorities/nr2005002918', 'http://viaf.org/viaf/73808474', 'http://www.worldcat.org/identities/lccn-nr2005-002918', 'http://news.bbc.co.uk/2/hi/africa/5068076.stm', 'http://news.bbc.co.uk/2/hi/africa/6338017.stm', 'http://news.bbc.co.uk/2/hi/africa/6342233.stm', 'https://www.la-croix.com/Monde/Nigeria-large-victoire-Buhari-opposition-conteste-saisit-justice-2019-02-27-1301005402', 'https://www.newsliveng.com/2019/04/13/facts-and-proof-reveals-atiku-not-nigerian/', 'https://www.newsliveng.com/2019/04/facts-and-proof-reveals-atiku-not-nigerian/', 'https://www.premiumtimesng.com/news/top-news/228680-atiku-el-rufai-olojede-shettima-others-praise-premium-times-panama-papers-pulitzer-prize-win.html', 'https://www.voaafrique.com/a/l-ancien-vice-pr%C3%A9sident-atiku-abubakar-remporte-la-primaire-du-principal-parti-d-opposition-nig%C3%A9riane/4603115.html', 'https://www.lepoint.fr/monde/muhammadu-buhari-reelu-pour-un-second-mandat-a-la-tete-du-nigeria-27-02-2019-2296552_24.php', 'https://www.wikidata.org/wiki/Q755878?uselang=fr#identifiers', 'https://www.worldcat.org/identities/lccn-nr2005002918']"
50131672,0,Omar Aggad,"['http://www.dna.fr/actualite/2015/12/09/attentats-de-paris-le-troisieme-terroriste-du-bataclan-identifie', 'http://www.europe1.fr/faits-divers/qui-est-foued-mohamed-aggad-le-troisieme-kamikaze-du-bataclan-2633591', 'http://www.lefigaro.fr/actualite-france/2015/12/09/01016-20151209ARTFIG00394-qui-est-foued-mohamed-aggad-le-troisieme-kamikaze-du-bataclan.php', 'https://www.francetvinfo.fr/faits-divers/terrorisme/attaques-du-13-novembre-a-paris/comment-la-bri-a-mene-l-assaut-au-bataclan_1178909.html', 'https://www.huffingtonpost.fr/2015/12/09/foued-mohamed-aggad-kamikaze-bataclan-attentats-13-novembre-paris_n_8756460.html', 'https://www.lemonde.fr/attaques-a-paris/article/2015/11/16/au-bataclan-deux-heures-d-intervention-policiere-dans-l-enfer-de-dante_4811065_4809495.html', 'https://www.lemonde.fr/attaques-a-paris/article/2015/12/30/13-novembre-l-assaut-du-bataclan-heure-par-heure_4839440_4809495.html', 'https://www.ouest-france.fr/attentats-paris/attentats-paris-le-recit-glacant-de-lassaut-final-au-bataclan-3846578']"
18961645,0,Alberto Alcocer,"['http://business.timesonline.co.uk/tol/business/specials/rich_list/rich_list_search/', 'https://www.forbes.com/2004/07/14/04russialand.html', 'https://www.forbes.com/lists/2007/82/biz_06taiwan_Greater-Chinas-Rich-List_land.html', 'https://archive.is/20121205174726/http://www.forbes.com/lists/2007/09/19/richest-americans-forbes-lists-richlist07-cx_mm_0920rich_land.html', 'https://archive.is/20121216070404/http://www.forbes.com/2007/11/13/india-billionaires-richest-biz-07india-cx_nk_1114india_land.html']"
22765442,0,Ilham Aliyev,"['http://azertag.az/en/xeber/CEREMONY_OF_PRESENTING_ORDERS_GRAND_CROSS_OF_LEGION_OF_HONOR_AND_HEYDAR_ALIYEV-564552', 'http://www.mfa.gov.az/en/content/560', 'http://newtimes.az/en/organisations/4321/', 'http://archive.president.az/articles.php?item_id=20070811102231315&sec_id=14', 'http://en.president.az/', 'http://en.president.az/articles/18257', 'http://en.president.az/articles/18866', 'http://en.president.az/articles/23951', 'http://en.president.az/articles/24032', 'http://en.president.az/articles/25667', 'http://en.president.az/articles/7811', 'http://en.president.az/articles/8508', 'http://en.president.az/president/biography', 'http://www.zarifa-aliyeva.az/en/node/116', 'http://www.lalibre.be/actu/international/en-azerbaidjan-le-president-nomme-pour-vice-president-sa-femme-58ad52c3cd7025157112276d', 'http://www.chinadaily.com.cn/en/doc/2003-12/16/content_290650.htm', 'http://www.chinadaily.com.cn/xinhua/2013-10-23/content_10394963.html', 'http://afp.google.com/article/ALeqM5jTtRwp-FUvPLV8vIPjNa8hzUyX4w', 'http://aut.nkp.cz/js20060519028', 'http://catalogue.bnf.fr/ark:/12148/cb17130616z', 'http://data.bnf.fr/ark:/12148/cb17130616z', 'http://www.lefigaro.fr/international/2018/04/11/01003-20180411ARTFIG00108-azerbaidjan-aliyev-un-president-riche-et-inoxydable.php', 'http://www.leparisien.fr/flash-actualite-monde/azerbaidjan-l-osce-et-l-opposition-critiquent-la-presidentielle-16-10-2008-278465.php', 'http://www.slate.fr/story/78864/azerbaidjan-ilham-aliyev-reelection-stabilite', 'http://id.loc.gov/authorities/n2004100586', 'http://d-nb.info/gnd/133179346', 'http://assembly.coe.int/nw/xml/News/News-View-EN.asp?newsid=6824&lang=2&cat=8', 'http://www.democracyweb.org/elections/azerbaijan.php', 'http://www.eurasianet.org/departments/insight/articles/eav052108a.shtml', 'http://www.eurasianet.org/departments/insight/articles/eav101408.shtml', 'http://www.eurasianet.org/node/62487', 'http://heydar-aliyev-foundation.org/en/content/index/65/Bioqrafiya', 'http://hrw.org/english/docs/2003/10/13/azerba6448.htm', 'http://www.indexoncensorship.org/tag/president-ilham-aliyev/', 'http://isni.org/isni/0000000035134130', 'http://www.osce.org/documents/odihr/2003/11/1151_en.pdf', 'http://www.osce.org/odihr/elections/106908', 'http://www.osce.org/odihr/elections/75250', 'http://en.rsf.org/press-freedom-index-2011-2012,1043.html', 'http://viaf.org/viaf/20866416', 'http://databank.worldbank.org/data/Views/Reports/ReportWidgetCustom.aspx?Report_Name=CountryProfile&Id=b450fd57&tbar=y&dd=y&inf=n&zm=n&country=AZE', 'http://www.worldcat.org/identities/lccn-n2004-100586', 'http://mtv.re/rerktf', 'http://www.blic.rs/vesti/politika/nikolic-ordenja-deli-u-tri-smene/3hhsd92', 'http://en.kremlin.ru/events/president/news/33543', 'http://fr.rian.ru/world/20081019/117821893.html', 'http://libris.kb.se/auth/356398', 'http://zakon2.rada.gov.ua/laws/show/458/2008', 'https://www.letemps.ch/opinions/ilham-aliev-lindeboulonnable-dictateur-lazerbaidjan-reelu', 'https://www.bbc.com/news/world-58780465', 'https://www.bbc.com/news/world-europe-24455367', 'https://fr.euronews.com/next/2015/05/20/le-dialogue-interculturel-a-l-honneur-a-bakou', 'https://books.google.com/?id=7KIY4MF6HaEC&pg=PA184&lpg=PA184&dq=Azerbaijan#v=onepage&q=Azerbaijan&f=false', 'https://www.nytimes.com/2017/02/15/world/europe/russia-azerbaijan-general-dunford.html', 'https://eeas.europa.eu/headquarters/headquarters-homepage/330/european-neighbourhood-policy-enp_en', 'https://eeas.europa.eu/headquarters/headquarters-homepage/419/eastern-partnership_en', 'https://www.20minutes.fr/monde/2127267-20170905-caviargate-enquete-denonce-corruption-menee-azerbaidjan-acheter-soutiens-etranger', 'https://www.francetvinfo.fr/monde/l-azerbaidjan-s-est-achete-des-soutiens-a-l-etranger-revele-une-enquete-de-journaux-europeens_2357831.html', 'https://www.lemonde.fr/actualite-medias/article/2018/09/19/l-azerbaidjan-qualifie-de-dictature-par-cash-investigation-un-etat-ne-peut-pas-poursuivre-en-diffamation-dit-la-justice-francaise_5357458_3236.html', 'https://www.lemonde.fr/international/article/2021/03/18/la-dissidence-azerbaidjanaise-craint-pour-sa-securite-en-france_6073608_3210.html', 'https://www.lemonde.fr/international/article/2021/04/13/en-azerbaidjan-la-sextape-devient-un-instrument-de-repression_6076607_3210.html', 'https://www.liberation.fr/planete/2018/04/09/l-azerbaidjan-est-une-dictature-mais-ca-ne-derange-pas-l-europe_1642222', 'https://www.monde-diplomatique.fr/2012/12/DESCAMPS/48479', 'https://georgewbush-whitehouse.archives.gov/news/releases/2006/04/20060428.html', 'https://www.defense.gov/News/Article/Article/1085746/dunford-meets-russian-counterpart-to-strengthen-mil-to-mil-contacts/', 'https://history.state.gov/departmenthistory/visits/azerbaijan', 'https://az.usembassy.gov/president-azerbaijan-ilham-aliyev-met-president-donald-trump/', 'https://kopkatalogs.lv/F/?func=direct&local_base=lnc10&doc_number=000122133', 'https://freedomhouse.org/report/nations-transit/2006/azerbaijan', 'https://www.occrp.org/en/panamapapers/persons/ilhamaliyev/', 'https://www.occrp.org/en/poy/2012/', 'https://www.occrp.org/en/the-pandora-papers/azerbaijans-ruling-aliyev-family-and-their-associates-acquired-dozens-of-prime-london-properties-worth-nearly-700-million', 'https://www.oic-oci.org/topic/?t_id=8169&ref=3298&lan=en', 'https://www.rferl.org/a/1103981.html', 'https://www.rferl.org/a/1143036.html', 'https://www.rferl.org/a/azerbaijan-opposition-rally-baku/28821302.html', 'https://www.rferl.org/a/azerbaijan-president-sets-snap-parliamentary-elections-for-february/30309391.html', 'https://www.wikidata.org/wiki/Q57371?uselang=fr#identifiers', 'https://data.worldbank.org/country/azerbaijan', 'https://www.worldcat.org/identities/lccn-n2004100586', 'https://www.worldcat.org/issn/0362-4331&lang=fr', 'https://mospat.ru/en/2010/04/24/news17270/']"
61529708,0,Arzu Aliyeva,"['http://www.1news.az/chronicle/20120412121132792.html', 'http://fr.apa.az/actualite-politique/politique_en_azerbaidjan/le-prix-d-honneur-cl-la-vie-a-t-pr-sent-mme-leyla-aliyeva-vice-pr-sidente-de-la-fondation-heydar-aliyev.html', 'http://www.rome.mfa.gov.az/en/content/115', 'http://www.leyla-aliyeva.az/en/', 'http://www.news.az/articles/society/46016', 'http://www.president.az/articles/2681', 'http://heydar-aliyev-foundation.org/en/content/index/143/', 'http://ria.ru/world/20150530/1067366218.html', 'https://azertag.az/fr/xeber/france-899319', 'https://www.calvertjournal.com/articles/show/5133/ali-and-nino-film-to-premier-at-sundance', 'https://www.thedailybeast.com/dissident-backed-by-amal-clooney-is-finally-free', 'https://panamapapers.icij.org/the_power_players/', 'https://www.occrp.org/en/corruptistan/azerbaijan/2015/06/11/azerbaijani-first-family-big-on-banking.html', 'https://www.rferl.org/a/azerbaijan-aliyevs-control-lucrative-gold-mine/27654189.html', 'https://www.rferl.org/a/azerbaijan-ilham-aliyev-firms-with-official-ties-absent-tax-registry/28388581.html', 'https://www.rferl.org/a/azerbaijan_first_family_build_eurovision_arena/24575761.html', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P106', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P140', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P1559', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P166', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P19', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P2031', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P22', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P25', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P26', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P27', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P3373', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P569', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P69', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P856', 'https://commons.wikimedia.org/wiki/Category:Leyla_Aliyeva?uselang=fr', 'https://en.wikipedia.org/wiki/Leyla_Aliyeva?action=history', 'https://en.wikipedia.org/wiki/Leyla_Aliyeva?oldid=494947772']"
33155475,0,Leyla Aliyeva,"['http://www.1news.az/chronicle/20120412121132792.html', 'http://fr.apa.az/actualite-politique/politique_en_azerbaidjan/le-prix-d-honneur-cl-la-vie-a-t-pr-sent-mme-leyla-aliyeva-vice-pr-sidente-de-la-fondation-heydar-aliyev.html', 'http://www.rome.mfa.gov.az/en/content/115', 'http://www.leyla-aliyeva.az/en/', 'http://www.news.az/articles/society/46016', 'http://www.president.az/articles/2681', 'http://heydar-aliyev-foundation.org/en/content/index/143/', 'http://ria.ru/world/20150530/1067366218.html', 'https://azertag.az/fr/xeber/france-899319', 'https://www.calvertjournal.com/articles/show/5133/ali-and-nino-film-to-premier-at-sundance', 'https://www.thedailybeast.com/dissident-backed-by-amal-clooney-is-finally-free', 'https://panamapapers.icij.org/the_power_players/', 'https://www.occrp.org/en/corruptistan/azerbaijan/2015/06/11/azerbaijani-first-family-big-on-banking.html', 'https://www.rferl.org/a/azerbaijan-aliyevs-control-lucrative-gold-mine/27654189.html', 'https://www.rferl.org/a/azerbaijan-ilham-aliyev-firms-with-official-ties-absent-tax-registry/28388581.html', 'https://www.rferl.org/a/azerbaijan_first_family_build_eurovision_arena/24575761.html', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P106', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P140', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P1559', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P166', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P19', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P2031', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P22', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P25', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P26', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P27', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P3373', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P569', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P69', 'https://www.wikidata.org/wiki/Q298532?uselang=fr#P856', 'https://commons.wikimedia.org/wiki/Category:Leyla_Aliyeva?uselang=fr', 'https://en.wikipedia.org/wiki/Leyla_Aliyeva?action=history', 'https://en.wikipedia.org/wiki/Leyla_Aliyeva?oldid=494947772']"
5204649,0,Mehriban Aliyeva,"['http://en.apa.az/azerbaijan-politics/domestic-news/mehriban-aliyeva-appointed-first-vice-president-of-azerbaijan.html', 'http://e-qanun.az/framework/32253', 'http://bsu.edu.az/az/content/aida_manquliyeva', 'http://www.mehriban-aliyeva.az', 'http://www.mehriban-aliyeva.az/en/news/node/840469', 'http://www.mehriban-aliyeva.az/en/news/node/840555', 'http://www.mehriban-aliyeva.az/en/news/node/840579', 'http://www.mehriban-aliyeva.az/en/news/node/840600', 'http://www.mehriban-aliyeva.az/en/news/node/840612', 'http://www.mehriban-aliyeva.az/en/news/node/840624', 'http://www.mehriban-aliyeva.az/en/news/node/840660', 'http://www.mehriban-aliyeva.az/en/news/node/841558', 'http://www.mehriban-aliyeva.az/en/news/node/841732', 'http://www.mehriban-aliyeva.az/en/news/node/846029', 'http://www.mehriban-aliyeva.az/en/news/node/846262', 'http://www.mehriban-aliyeva.az/en/news/node/846369', 'http://www.mehriban-aliyeva.az/en/site/biography', 'http://en.president.az/pages/16/print', 'http://mehribanaliyeva.preslib.az/media-jyjtokugow.html', 'http://www.timeturk.com/az/2010/11/07/aida-imanquliyeva-kimdir.html', 'http://www.europe1.fr/international/azerbaidjan-la-premiere-dame-nommee-vice-presidente-par-son-mari-2985131', 'http://heydar-aliyev-foundation.org', 'http://heydar-aliyev-foundation.org/en/content/index/51/Fondun-Prezidenti', 'http://heydar-aliyev-foundation.org/en/content/index/51/PresIdent-of-FoundatIon', 'http://heydar-aliyev-foundation.org/en/content/view/59/2567/-%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82-%D0%A4%D0%BE%D0%BD%D0%B4%D0%B0-%D0%93%D0%B5%D0%B9%D0%B4%D0%B0%D1%80%D0%B0-%D0%90%D0%BB%D0%B8%D0%B5%D0%B2%D0%B0-%D0%9C%D0%B5%D1%85%D1%80%D0%B8%D0%B1%D0%B0%D0%BD-%D0%90%D0%BB%D0%B8%D0%B5%D0%B2%D0%B0-%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D0%B8%D0%BB%D0%B0%D1%81%D1%8C-%D0%B2-%D0%9C%D0%B8%D0%BB%D0%BB%D0%B8-%D0%9C%D0%B5%D0%B4%D0%B6%D0%BB%D0%B8%D1%81-%D0%BF%D0%BE-%D0%BF%D0%BE%D0%B2%D0%BE%D0%B4%D1%83-%D0%BF%D1%80%D0%B8%D0%BD%D1%8F%D1%82%D0%B8%D1%8F-%D0%B0%D0%BA%D1%82%D0%B0-%D0%B0%D0%BC%D0%BD%D0%B8%D1%81%D1%82%D0%B8%D0%B8-//en/content/rss', 'http://www.mehriban-aliyeva.org', 'http://www.rferl.org/content/A_Challenger_In_Azerbaijans_Ruling_Family/1619232.html', 'http://portal.unesco.org/fr/ev.php-URL_ID=25540&URL_DO=DO_TOPIC&URL_SECTION=201.html', 'http://www.unesco.org/new/en/goodwill-ambassadors/mehriban-aliyeva/', 'https://report.az/en/domestic-politics/mehriban-aliyeva-appealed-to-cec-for-termination-of-deputy-mandate/', 'https://www.forbes.com/lists/2008/10/billionaires08_Aras-Agalarov_7DHZ.html', 'https://www.thedailybeast.com/dissident-backed-by-amal-clooney-is-finally-free', 'https://www.theguardian.com/world/us-embassy-cables-documents/245758', 'https://www.lefigaro.fr/international/au-haut-karabakh-ces-tresors-armeniens-menaces-20210115', 'https://www.lepoint.fr/monde/azerbaidjan-une-premiere-dame-va-t-en-guerre-19-11-2020-2401836_24.php', 'https://www.isesco.org.ma/blog/2016/09/30/ms-mehriban-aliyeva-receives-isesco-director-general/', 'https://eurasianet.org/azerbaijan-president-names-his-wife-vp', 'https://eurasianet.org/queen-of-the-caucasus-makes-state-visit-to-moscow', 'https://panamapapers.icij.org/the_power_players/', 'https://www.occrp.org/en/corruptistan/azerbaijan/2015/06/11/azerbaijani-first-family-big-on-banking.html', 'https://www.rferl.org/a/Azerbaijani_First_Lady_Given_Prestigious_French_Award/1960898.html', 'https://www.rferl.org/a/azerbaijan-ilham-aliyev-firms-with-official-ties-absent-tax-registry/28388581.html', 'https://www.rferl.org/a/azerbaijan_first_family_build_eurovision_arena/24575761.html', 'https://www.rferl.org/a/panama-papers-russia-ukraine-azerbaijan/27654220.html']"
