pageid,ns,title,summary
50037005,0,List of people named in the Panama Papers,
36165132,0,Sergio Abreu (politician),
471357,0,Ali Abu Al-Ragheb,"Ali Abou Al-Ragheb (arabe : علي أبو الراغب), né en 1946, est un homme politique jordanien.
Il a été Premier ministre de Jordanie et ministre de la Défense du 19 juin 2000 au 25 octobre 2003. Il est aussi sénateur de 2003 à 2010. 
Il est cité dans l'affaire des Panama Papers en avril 2016."
4398024,0,Atiku Abubakar,"Atiku Abubakar est un homme d'État nigérian né le 25 novembre 1946 à Jada, État d'Adamawa (Nigeria)."
50131672,0,Omar Aggad,"Foued Mohamed-Aggad, né le 13 janvier 1992 à  Wissembourg  (Bas-Rhin) et mort le 13 novembre 2015 à Paris, est un terroriste islamiste français. Parti rejoindre les rangs de l'organisation djihadiste État islamique au Moyen-Orient en décembre 2013, il est revenu en France où il est devenu l'un des trois auteurs, avec Ismaël Omar Mostefaï et Samy Amimour, de la tuerie du Bataclan qui a causé la mort de 90 personnes lors des attentats du 13 novembre 2015 à Paris."
18961645,0,Alberto Alcocer,"Ceci est la liste des milliardaires du monde telle que publiée par le magazine américain Forbes pour l'année 2008. Ce magazine recense les milliardaires de la planète à l'exception des têtes couronnées (sauf si leur fortune est privée), et exprime leur fortune en milliards de dollars américains (l'unité retenue dans la suite du texte).
Pour la première année depuis 12 ans, Bill Gates n'est plus l'homme le plus riche du monde et il n'arrive qu'à la 3e place derrière son ami Warren Buffett et l'homme d'affaires mexicain Carlos Slim Helú.
Cette année 2008 voit aussi une confirmation des fortunes indiennes dans le top 20 avec la montée d'une place de Lakshmi Mittal, les frères Ambani aux 5e et 6e positions, ainsi que Kushal Pal Singh en 8e.

		
		
		
		
Légende :"
22765442,0,Ilham Aliyev,"Ilham Aliyev – İlham Əliyev en azéri ou Ilham Aliev (en russe : Ильхам Гейдарович Алиев ou Ильхам Гейдар оглу Алиев), translittéré en Ilkham Aliev – né le 24 décembre 1961 à Bakou, est un homme d'État azéri, président de la République d'Azerbaïdjan depuis le 31 octobre 2003.
Il devient chef de l’État de son pays à la suite du désistement de son père, le président Heydar Aliyev, à l'élection présidentielle de 2003, avant d’être réélu président en 2008, 2013 et 2018. Avec le soutien turc, il lance en 2020 une guerre de 44 jours contre l'Arménie, récupérant ainsi partiellement le Haut-Karabagh, perdu lors d'une précédente guerre.
Son régime est souvent qualifié d'autoritaire,,, voire de dictatorial,,.

"
61529708,0,Arzu Aliyeva,"Leyla Aliyeva, née le 3 juillet 1984 à Moscou (RSFS de Russie, URSS, auj. Russie), est une femme d'affaires azerbaidjanaise. Elle est la rédactrice en chef du magazine Baku. Elle est aussi la fille du président Ilham Aliyev et de la Première dame et vice-présidente d'Azerbaïdjan, Mehriban Aliyeva."
33155475,0,Leyla Aliyeva,"Leyla Aliyeva, née le 3 juillet 1984 à Moscou (RSFS de Russie, URSS, auj. Russie), est une femme d'affaires azerbaidjanaise. Elle est la rédactrice en chef du magazine Baku. Elle est aussi la fille du président Ilham Aliyev et de la Première dame et vice-présidente d'Azerbaïdjan, Mehriban Aliyeva."
5204649,0,Mehriban Aliyeva,"Mehriban Arif qızı Aliyeva (en azéri : Mehriban Arif qızı Əliyeva ; en russe : Мехрибан Ариф гызы Алиева), parfois translittéré en Mehriban Alieva, née Paşayeva le 26 août 1964 à Bakou, est une femme d'État azerbaïdjanaise, membre du Parti du nouvel Azerbaïdjan et vice-présidente de la République d'Azerbaïdjan depuis le 21 février 2017. Elle est aussi Première dame en tant qu'épouse du président azerbaidjanais Ilham Aliyev et présidente de la Fondation Heydar Aliyev."
440288,0,Ayad Allawi,"Iyad Allaoui ou Allawi (en arabe : اياد علاوي), né le 31 mai 1944 à Adhamiyah, est un neurologue et homme d'État irakien. Il est Premier ministre du gouvernement intérimaire irakien entre juin 2004 et mai 2005."
19203717,0,Agustín Almodóvar,"Agustín Almodóvar est un producteur de cinéma espagnol, né à Calzada de Calatrava en 1955.
Directeur de la société El Deseo, il produit notamment les films de son frère, Pedro Almodóvar."
5195275,0,Pedro Almodóvar,"Pedro Almodóvar /ˈpeðɾo almoˈðoβaɾ/ est un réalisateur de cinéma espagnol, né le 25 septembre 1949 à Calzada de Calatrava dans la province de Ciudad Real et la communauté autonome de Castille-La Manche, en Espagne. Il est l'un des cinéastes emblématiques de la nouvelle vague espagnole."
29107300,0,Alfonso de Angoitia,"Imperio de mentiras (L'Empire du Mensonge) est une telenovela dramatique policière mexicaine produite Televisa. Elle est diffusée entre le 14 septembre 2020 et le 17 janvier 2021 sur la chaine Las Estrellas. Il s'agit d'une adaptation de la série télévisée turque Kara Para Aşk,.
En France, elle est diffusée depuis le 13 mai 2021 sur le réseau Outre-Mer 1re,."
1309963,0,Kojo Annan,"Kojo Annan né le 25 janvier 1973 à Genève est le fils de Kofi Annan, ancien secrétaire général de l'ONU. Il a été impliqué dans l'affaire pétrole contre nourriture visant à détourner l'embargo international sur le pétrole irakien mis en place après l'invasion du Koweït et l'opération Tempête du désert.
La compagnie de courtage pétrolier Trafigura aurait versé des commissions aux anciens dirigeants irakiens ainsi qu'à Kojo Annan, qui aurait reçu 247 000 euros de commissions.[réf. nécessaire]Il est cité dans l'affaire des Panama Papers en avril 2016."
