Region,Sub region,Country,Indicator,Year,Comments field,Gender,ID,Question Number,Survey source,Type of source,Year Of Source,Value
Asia,Southern Asia,Afghanistan,Prevalence Rate of Bribery - Male & Female,2009,,Male & Female,1,7.1.4,UNODC and Islamic Republic of Afghanistan High Office of Oversight and Anti-Corruption (2013) Corruption in Afghanistan: Recent patterns and trends,UNODC/AHOOAC,2013,58.60
Asia,Southern Asia,Afghanistan,Prevalence Rate of Bribery - Male & Female,2012,,Male & Female,2,7.1.4,UNODC and Islamic Republic of Afghanistan High Office of Oversight and Anti-Corruption (2013) Corruption in Afghanistan: Recent patterns and trends,UNODC/AHOOAC,2013,50.10
Asia,Southern Asia,Afghanistan,Prevalence Rate of Bribery - Male,2012,,Male,3,7.1.4a,UNODC and Islamic Republic of Afghanistan High Office of Oversight and Anti-Corruption (2013) Corruption in Afghanistan: Recent patterns and trends,UNODC/AHOOAC,2013,53.70
Asia,Southern Asia,Afghanistan,Prevalence Rate of Bribery - Female,2012,,Female,4,7.1.4b,UNODC and Islamic Republic of Afghanistan High Office of Oversight and Anti-Corruption (2013) Corruption in Afghanistan: Recent patterns and trends,UNODC/AHOOAC,2013,45.10
Europe,Southern Europe,Albania,Prevalence Rate of Bribery - Male & Female,2010,Adult citizen age 18-64,Male & Female,5,7.1.4,UNODC and INSTAT (2011) Corruption in Albania: Bribery as experienced by the population,UNODC/NSO,2011,19.30
Europe,Southern Europe,Albania,Prevalence Rate of Bribery - Male,2010,Adult citizen age 18-64,Male,6,7.1.4a,UNODC and INSTAT (2011) Corruption in Albania: Bribery as experienced by the population,UNODC/NSO,2011,17.00
Europe,Southern Europe,Albania,Prevalence Rate of Bribery - Female,2010,Adult citizen age 18-64,Female,7,7.1.4b,UNODC and INSTAT (2011) Corruption in Albania: Bribery as experienced by the population,UNODC/NSO,2011,21.30
Europe,Southern Europe,Albania,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,8,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,22.78
Africa,Northern Africa,Algeria,Prevalence Rate of Bribery - Male & Female,2015,,Male & Female,9,7.1.4,"Global Corruption Barometer, People and Corruption: Middle East & North Africa Survey 2016",GCB,2016,14.00
Americas,South America,Argentina,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,10,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,16.00
Americas,South America,Argentina,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,11,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,13.00
Asia,Western Asia,Armenia,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,12,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,17.42
Oceania,Australia and New Zealand,Australia,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,13,7.1.4,"Global Corruption Barometer, People and Corruption: Asia Pacific 2017",GCB,2017,4.00
Asia,Western Asia,Azerbaijan,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,14,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,27.59
Americas,Caribbean,Bahamas,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,15,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,20.00
Asia,Southern Asia,Bangladesh,Prevalence Rate of Bribery - Male & Female,2020,,Male & Female,16,7.1.4,"Global Corruption Barometer, Asia 2020",GCB,2020,24.00
Americas,Caribbean,Barbados,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,17,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,9.00
Europe,Eastern Europe,Belarus,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,18,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,14.52
Europe,Western Europe,Belgium,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,19,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,2.18
Africa,Western Africa,Benin,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,20,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,26.00
Africa,Western Africa,Benin,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,21,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,27.00
Americas,South America,Bolivia (Plurinational State of),Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,22,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,28.00
Europe,Southern Europe,Bosnia and Herzegovina,Prevalence Rate of Bribery - Male & Female,2010,,Male & Female,23,7.1.4,UNODC and Prism Research (2011) Corruption in Bosnia and Herzegovina: Bribery as experienced by the population,UNODC Research,2011,20.70
Europe,Southern Europe,Bosnia and Herzegovina,Prevalence Rate of Bribery - Male,2010,Adult citizen age 18-64,Male,24,7.1.4a,UNODC and Prism Research (2011) Corruption in Bosnia and Herzegovina: Bribery as experienced by the population,UNODC Research,2011,23.20
Europe,Southern Europe,Bosnia and Herzegovina,Prevalence Rate of Bribery - Female,2010,Adult citizen age 18-64,Female,25,7.1.4b,UNODC and Prism Research (2011) Corruption in Bosnia and Herzegovina: Bribery as experienced by the population,UNODC Research,2011,18.20
Europe,Southern Europe,Bosnia and Herzegovina,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,26,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,24.20
Africa,Southern Africa,Botswana,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,27,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,1.00
Africa,Southern Africa,Botswana,Prevalence Rate of Bribery - Male & Female,2017,,Male & Female,28,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,7.00
Americas,South America,Brazil,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,29,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,11.00
Americas,South America,Brazil,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,30,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,11.00
Europe,Eastern Europe,Bulgaria,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,31,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,12.34
Africa,Western Africa,Burkina Faso,Prevalence Rate of Bribery - Male & Female,2015,,Male & Female,32,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,11.00
Africa,Western Africa,Burkina Faso,Prevalence Rate of Bribery - Male & Female,2017,,Male & Female,33,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,16.00
Africa,Eastern Africa,Burundi,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,34,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,14.00
Africa,Western Africa,Cabo Verde,Prevalence Rate of Bribery - Male & Female,2013,,Male & Female,35,7.1.4,"InquΘrito Multiobjectivo Contφnuo 2013. Estatisticas de Governanτa, Paz e Seguranτa (SHaSA)",NSO,2013,1.50
Africa,Western Africa,Cabo Verde,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,36,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,2.00
