pageid,ns,title,categories
50037005,0,List of people named in the Panama Papers,
36165132,0,Sergio Abreu (politician),
471357,0,Ali Abu Al-Ragheb,"[""Catégorie:Article utilisant l'infobox Biographie2"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Naissance en 1946', 'Catégorie:Page utilisant P106', 'Catégorie:Page utilisant P1559', 'Catégorie:Page utilisant P18', 'Catégorie:Page utilisant P19', 'Catégorie:Page utilisant P27', 'Catégorie:Page utilisant P39', 'Catégorie:Page utilisant P569', 'Catégorie:Page utilisant P69', 'Catégorie:Personne citée dans le scandale des Panama Papers', 'Catégorie:Portail:Asie/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Jordanie/Articles liés', 'Catégorie:Portail:Monde arabe/Articles liés', 'Catégorie:Portail:Moyen-Orient/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Premier ministre de Jordanie', 'Catégorie:Wikipédia:Article biographique', 'Catégorie:Wikipédia:ébauche personnalité politique jordanienne', ""Catégorie:Étudiant de l'université du Tennessee""]"
4398024,0,Atiku Abubakar,"[""Catégorie:Article de Wikipédia avec notice d'autorité"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Naissance en novembre 1946', 'Catégorie:Personne citée dans le scandale des Panama Papers', 'Catégorie:Portail:Afrique/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Droit', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Nigeria/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Vice-président du Nigeria', 'Catégorie:Wikipédia:Article biographique']"
50131672,0,Omar Aggad,"['Catégorie:Article utilisant une Infobox', 'Catégorie:Coresponsable des attentats du 13 novembre 2015', 'Catégorie:Décès en novembre 2015', 'Catégorie:Décès à 23 ans', 'Catégorie:Décès à Paris', ""Catégorie:Membre de l'État islamique"", 'Catégorie:Meurtre-suicide en France', 'Catégorie:Naissance en septembre 1992', 'Catégorie:Naissance à Wissembourg', 'Catégorie:Portail:Biographie/Articles liés/Général', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:France/Articles liés', 'Catégorie:Portail:Islam/Articles liés', 'Catégorie:Portail:Religions et croyances/Articles liés', 'Catégorie:Portail:Terrorisme/Articles liés', 'Catégorie:Terrorisme islamiste en France', 'Catégorie:Wikipédia:Article biographique']"
18961645,0,Alberto Alcocer,"['Catégorie:2008', 'Catégorie:Article contenant un appel à traduction en allemand', 'Catégorie:Article contenant un appel à traduction en anglais', 'Catégorie:Liste des milliardaires du monde selon Forbes', 'Catégorie:Portail:Entreprises/Articles liés', 'Catégorie:Portail:Économie/Articles liés']"
22765442,0,Ilham Aliyev,"['Catégorie:Article avec une section vide ou incomplète', 'Catégorie:Article contenant un appel à traduction en anglais', ""Catégorie:Article de Wikipédia avec notice d'autorité"", 'Catégorie:Article manquant de références/Liste complète', 'Catégorie:Article manquant de références depuis août 2018', 'Catégorie:Article utilisant une Infobox', 'Catégorie:Article à référence souhaitée', ""Catégorie:Docteur honoris causa de l'université nationale Taras-Chevtchenko de Kiev"", 'Catégorie:Famille Aliyev', ""Catégorie:Grand-croix de la Légion d'honneur"", ""Catégorie:Naissance en RSS d'Azerbaïdjan"", 'Catégorie:Naissance en décembre 1961', 'Catégorie:Naissance à Bakou', 'Catégorie:Nationaliste azerbaïdjanais', 'Catégorie:Page utilisant un sommaire limité', 'Catégorie:Personnalité du Parti du nouvel Azerbaïdjan', 'Catégorie:Personnalité politique azerbaïdjanaise', 'Catégorie:Personne citée dans le scandale des Panama Papers', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Asie/Articles liés', 'Catégorie:Portail:Azerbaïdjan/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Politique/Articles liés', ""Catégorie:Premier ministre d'Azerbaïdjan"", ""Catégorie:Président de l'Azerbaïdjan"", 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Étudiant de l'Institut d'État des relations internationales de Moscou""]"
61529708,0,Arzu Aliyeva,"['Catégorie:Article contenant un appel à traduction en anglais', ""Catégorie:Article utilisant l'infobox Biographie2"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Catégorie Commons avec lien local identique sur Wikidata', 'Catégorie:Famille Aliyev', 'Catégorie:Journaliste azerbaïdjanaise', 'Catégorie:Naissance en RSFS de Russie', 'Catégorie:Naissance en juillet 1984', 'Catégorie:Naissance à Moscou', 'Catégorie:Page utilisant P106', 'Catégorie:Page utilisant P140', 'Catégorie:Page utilisant P1559', 'Catégorie:Page utilisant P166', 'Catégorie:Page utilisant P19', 'Catégorie:Page utilisant P2031', 'Catégorie:Page utilisant P22', 'Catégorie:Page utilisant P25', 'Catégorie:Page utilisant P26', 'Catégorie:Page utilisant P27', 'Catégorie:Page utilisant P3373', 'Catégorie:Page utilisant P569', 'Catégorie:Page utilisant P69', 'Catégorie:Page utilisant P856', 'Catégorie:Personnalité du Parti du nouvel Azerbaïdjan', 'Catégorie:Personne citée dans le scandale des Panama Papers', 'Catégorie:Portail:Asie/Articles liés', 'Catégorie:Portail:Azerbaïdjan/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Culture et arts', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Médias/Articles liés', 'Catégorie:Portail:Presse écrite/Articles liés', 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Étudiant de l'Institut d'État des relations internationales de Moscou""]"
33155475,0,Leyla Aliyeva,"['Catégorie:Article contenant un appel à traduction en anglais', ""Catégorie:Article utilisant l'infobox Biographie2"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Catégorie Commons avec lien local identique sur Wikidata', 'Catégorie:Famille Aliyev', 'Catégorie:Journaliste azerbaïdjanaise', 'Catégorie:Naissance en RSFS de Russie', 'Catégorie:Naissance en juillet 1984', 'Catégorie:Naissance à Moscou', 'Catégorie:Page utilisant P106', 'Catégorie:Page utilisant P140', 'Catégorie:Page utilisant P1559', 'Catégorie:Page utilisant P166', 'Catégorie:Page utilisant P19', 'Catégorie:Page utilisant P2031', 'Catégorie:Page utilisant P22', 'Catégorie:Page utilisant P25', 'Catégorie:Page utilisant P26', 'Catégorie:Page utilisant P27', 'Catégorie:Page utilisant P3373', 'Catégorie:Page utilisant P569', 'Catégorie:Page utilisant P69', 'Catégorie:Page utilisant P856', 'Catégorie:Personnalité du Parti du nouvel Azerbaïdjan', 'Catégorie:Personne citée dans le scandale des Panama Papers', 'Catégorie:Portail:Asie/Articles liés', 'Catégorie:Portail:Azerbaïdjan/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Culture et arts', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Médias/Articles liés', 'Catégorie:Portail:Presse écrite/Articles liés', 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Étudiant de l'Institut d'État des relations internationales de Moscou""]"
5204649,0,Mehriban Aliyeva,"['Catégorie:Article contenant un appel à traduction en anglais', 'Catégorie:Article utilisant une Infobox', ""Catégorie:Docteur honoris causa d'une université de Bulgarie"", 'Catégorie:Famille Aliyev', 'Catégorie:Femme médecin azérie', 'Catégorie:Femme politique azerbaïdjanaise', ""Catégorie:Naissance en RSS d'Azerbaïdjan"", 'Catégorie:Naissance en août 1964', 'Catégorie:Naissance à Bakou', ""Catégorie:Officier de la Légion d'honneur"", 'Catégorie:Personnalité du Parti du nouvel Azerbaïdjan', 'Catégorie:Personne citée dans le scandale des Panama Papers', 'Catégorie:Philanthrope azéri', 'Catégorie:Portail:Asie/Articles liés', 'Catégorie:Portail:Azerbaïdjan/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Biographie/Articles liés/Santé', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Politique/Articles liés', ""Catégorie:Première dame d'Azerbaïdjan"", ""Catégorie:Vice-président de l'Azerbaïdjan"", 'Catégorie:Wikipédia:Article biographique']"
