pageid,ns,title,images
50037005,0,List of people named in the Panama Papers,
36165132,0,Sergio Abreu (politician),
471357,0,Ali Abu Al-Ragheb,"['https://upload.wikimedia.org/wikipedia/commons/d/dd/Ali_Abu_Al-Ragheb_portrait.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Circle-icons-profile.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Circle-icons-profile.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2e/Nuvola_Jordan_flag.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
4398024,0,Atiku Abubakar,"['https://upload.wikimedia.org/wikipedia/commons/e/ea/Atiku_Abubakar.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/71/Seal_of_the_Vice_President_of_Nigeria.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
50131672,0,Omar Aggad,"['https://upload.wikimedia.org/wikipedia/commons/b/b5/Bomby_trans.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_the_Islamic_State_of_Iraq_and_the_Levant2.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_the_Islamic_State_of_Iraq_and_the_Levant2.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bc/Icon_flat_design_plume.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bc/Icon_flat_design_plume.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Star_and_Crescent.svg']"
18961645,0,Alberto Alcocer,"['https://upload.wikimedia.org/wikipedia/commons/7/78/Bill_Gates_in_Poland_cropped.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Carlos_Slim_moustache.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Decrease2.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Factory.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/Increase2.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/Lakshmimittal22082006.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Mukesh_Ambani.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Steady.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Warren_Buffett_KU_Visit.jpg']"
22765442,0,Ilham Aliyev,"['https://upload.wikimedia.org/wikipedia/commons/a/a1/2017-fr.wp-orange-source.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6b/Emblem_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6b/Emblem_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_the_President_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Ilham_Aliyev_met_with_Prime_Minister_of_Malaysia_Mahathir_Mohamad_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Ilham_Aliyev_was_interviewed_by_Euronews_TV_%28cropped%29_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Ilham_Aliyev_with_EU_officials.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/22/Signature_of_Ilham_Aliyev.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c1/Vladimir_Putin_and_Ilham_Aliyev_%282015-06-13%29_1.jpg']"
61529708,0,Arzu Aliyeva,"['https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/Circle-icons-news.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Confusion_colour.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2b/Leyla_Aliyeva.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg']"
33155475,0,Leyla Aliyeva,"['https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/Circle-icons-news.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Confusion_colour.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2b/Leyla_Aliyeva.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg']"
5204649,0,Mehriban Aliyeva,"['https://upload.wikimedia.org/wikipedia/commons/6/6b/Emblem_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_the_President_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/97/Mehriban_Aliyeva03_%28cropped%29.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
