pageid,ns,title,categories
68879305,0,List of people named in the Pandora Papers,
164053,0,Abdullah II of Jordan,"['Catégorie:Article contenant un appel à traduction en anglais', ""Catégorie:Article de Wikipédia avec notice d'autorité"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Bon article en anglais', 'Catégorie:Catégorie Commons avec lien local identique sur Wikidata', ""Catégorie:Chevalier commandeur de l'ordre royal de Victoria"", ""Catégorie:Chevalier grand-croix de l'ordre de Saint-Michel et Saint-Georges"", ""Catégorie:Chevalier grand-croix de l'ordre du Lion néerlandais"", ""Catégorie:Chevalier grand-croix de l'ordre du Mérite de la République italienne"", ""Catégorie:Chevalier grand-croix honoraire de l'ordre du Bain"", ""Catégorie:Collier de l'ordre d'Isabelle la Catholique"", ""Catégorie:Collier de l'ordre de l'Étoile de Roumanie"", ""Catégorie:Collier de l'ordre du Lion blanc"", ""Catégorie:Collier de l'ordre du Mérite civil (Espagne)"", ""Catégorie:Docteur honoris causa de l'université Chulalongkorn"", ""Catégorie:Docteur honoris causa de l'université d'Oxford"", ""Catégorie:Docteur honoris causa de l'université d'État de Moscou"", ""Catégorie:Docteur honoris causa de l'université de Georgetown"", ""Catégorie:Docteur honoris causa de l'université de Jordanie"", ""Catégorie:Grand-croix avec collier de l'ordre de Charles III d'Espagne"", ""Catégorie:Grand-croix de l'ordre d'Orange-Nassau"", ""Catégorie:Grand-croix de l'ordre de Saint-Olaf"", ""Catégorie:Grand-croix de l'ordre de l'Infant Dom Henri"", ""Catégorie:Grand-croix de l'ordre du Mérite de la République fédérale d'Allemagne"", ""Catégorie:Grand collier de l'ordre de Sant'Iago de l'Épée"", ""Catégorie:Grand cordon de l'ordre de Léopold"", ""Catégorie:Grand cordon de l'ordre de la République (Tunisie)"", ""Catégorie:Grand cordon de l'ordre du Trône"", 'Catégorie:Généalogie princière', 'Catégorie:Hachémites', 'Catégorie:Naissance en janvier 1962', 'Catégorie:Naissance à Amman', 'Catégorie:Personnalité jordanienne', 'Catégorie:Personnalité politique jordanienne', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Asie/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Culture et arts', 'Catégorie:Portail:Biographie/Articles liés/Militaire', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Histoire/Articles liés', 'Catégorie:Portail:Jordanie/Articles liés', 'Catégorie:Portail:Monarchie/Articles liés', 'Catégorie:Portail:Monde arabe/Articles liés', 'Catégorie:Portail:Moyen-Orient/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Portail:Époque contemporaine/Articles liés', 'Catégorie:Roi de Jordanie', ""Catégorie:Récipiendaire de l'ordre de l'Aigle blanc"", ""Catégorie:Récipiendaire de l'ordre des Séraphins"", ""Catégorie:Récipiendaire de l'ordre du Chrysanthème"", 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Élève de l'Académie royale militaire de Sandhurst"", 'Catégorie:Étudiant de Pembroke College (Oxford)']"
43558615,0,Luis Abinader,"['Catégorie:Article utilisant une Infobox', 'Catégorie:Naissance en juillet 1967', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Amérique/Articles liés', 'Catégorie:Portail:Amérique centrale/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Entreprises', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Biographie/Articles liés/Sciences', 'Catégorie:Portail:Caraïbe/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Portail:République dominicaine/Articles liés', 'Catégorie:Président de la République dominicaine', 'Catégorie:Wikipédia:Article biographique', 'Catégorie:Wikipédia:ébauche personnalité dominicaine', 'Catégorie:Wikipédia:ébauche personnalité politique']"
20806009,0,Patrick Achi,"['Catégorie:Article utilisant une Infobox', 'Catégorie:Ministre ivoirien', 'Catégorie:Naissance en novembre 1955', 'Catégorie:Naissance à Paris', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Biographie/Articles liés/Politique', ""Catégorie:Portail:Côte d'Ivoire/Articles liés"", 'Catégorie:Portail:Politique/Articles liés', ""Catégorie:Premier ministre de Côte d'Ivoire"", 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Élève de l'École supérieure d'électricité""]"
25846254,0,Aires Ali,"['Catégorie:Article contenant un appel à traduction en portugais', 'Catégorie:Article utilisant une Infobox', 'Catégorie:Naissance en décembre 1955', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Afrique/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Lusophonie/Articles liés', 'Catégorie:Portail:Mozambique/Articles liés', 'Catégorie:Portail:Politique/Articles liés', 'Catégorie:Premier ministre du Mozambique', 'Catégorie:Wikipédia:Article biographique', 'Catégorie:Wikipédia:ébauche personnalité politique mozambicaine']"
22765442,0,Ilham Aliyev,"['Catégorie:Article avec une section vide ou incomplète', 'Catégorie:Article contenant un appel à traduction en anglais', ""Catégorie:Article de Wikipédia avec notice d'autorité"", 'Catégorie:Article manquant de références/Liste complète', 'Catégorie:Article manquant de références depuis août 2018', 'Catégorie:Article utilisant une Infobox', 'Catégorie:Article à référence souhaitée', ""Catégorie:Docteur honoris causa de l'université nationale Taras-Chevtchenko de Kiev"", 'Catégorie:Famille Aliyev', ""Catégorie:Grand-croix de la Légion d'honneur"", ""Catégorie:Naissance en RSS d'Azerbaïdjan"", 'Catégorie:Naissance en décembre 1961', 'Catégorie:Naissance à Bakou', 'Catégorie:Nationaliste azerbaïdjanais', 'Catégorie:Page utilisant un sommaire limité', 'Catégorie:Personnalité du Parti du nouvel Azerbaïdjan', 'Catégorie:Personnalité politique azerbaïdjanaise', 'Catégorie:Personne citée dans le scandale des Panama Papers', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Asie/Articles liés', 'Catégorie:Portail:Azerbaïdjan/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Politique/Articles liés', ""Catégorie:Premier ministre d'Azerbaïdjan"", ""Catégorie:Président de l'Azerbaïdjan"", 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Étudiant de l'Institut d'État des relations internationales de Moscou""]"
27919606,0,Ricardo Álvarez Arias,"['Catégorie:Article utilisant une Infobox', 'Catégorie:Naissance au Honduras', 'Catégorie:Naissance en octobre 1968', 'Catégorie:Portail:Amérique/Articles liés', 'Catégorie:Portail:Amérique centrale/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Droit', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Honduras/Articles liés', 'Catégorie:Portail:Politique/Articles liés', ""Catégorie:Président d'assemblée parlementaire"", 'Catégorie:Président du Honduras', 'Catégorie:Wikipédia:Article biographique', ""Catégorie:Étudiant de l'université d'État de New York à Albany""]"
1222313,0,Anil Ambani,"[""Catégorie:Article de Wikipédia avec notice d'autorité"", ""Catégorie:Article utilisant l'infobox Biographie2"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Naissance en juin 1959', 'Catégorie:Page utilisant P106', 'Catégorie:Page utilisant P19', 'Catégorie:Page utilisant P22', 'Catégorie:Page utilisant P26', 'Catégorie:Page utilisant P27', 'Catégorie:Page utilisant P3373', 'Catégorie:Page utilisant P39', 'Catégorie:Page utilisant P40', 'Catégorie:Page utilisant P569', 'Catégorie:Page utilisant P69', 'Catégorie:Personnalité indienne du monde des affaires', 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Asie/Articles liés', 'Catégorie:Portail:Biographie/Articles liés/Entreprises', 'Catégorie:Portail:Biographie/Articles liés/Politique', 'Catégorie:Portail:Entreprises/Articles liés', 'Catégorie:Portail:Inde/Articles liés', 'Catégorie:Portail:Monde indien/Articles liés', 'Catégorie:Portail:Économie/Articles liés', 'Catégorie:Wikipédia:Article biographique', 'Catégorie:Wikipédia:ébauche Inde', 'Catégorie:Wikipédia:ébauche entreprise', ""Catégorie:Étudiant de l'université de Bombay"", 'Catégorie:Étudiant de la Wharton School']"
55786000,0,Mohamed Amersi,
1142794,0,Carlo Ancelotti,"['Catégorie:Article contenant un appel à traduction en anglais', 'Catégorie:Article contenant un appel à traduction en italien', ""Catégorie:Article de Wikipédia avec notice d'autorité"", 'Catégorie:Article utilisant une Infobox', 'Catégorie:Article à référence nécessaire', 'Catégorie:Article à référence souhaitée', 'Catégorie:Catégorie Commons avec lien local identique sur Wikidata', ""Catégorie:Chevalier de l'ordre du Mérite de la République italienne"", ""Catégorie:Entraîneur champion d'Allemagne de football"", ""Catégorie:Entraîneur champion d'Angleterre de football"", ""Catégorie:Entraîneur champion d'Italie de football"", 'Catégorie:Entraîneur champion de France de football', ""Catégorie:Entraîneur de l'AC Milan"", ""Catégorie:Entraîneur de l'AC Reggiana 1919"", ""Catégorie:Entraîneur de l'Everton FC"", 'Catégorie:Entraîneur de la Juventus FC', 'Catégorie:Entraîneur du Bayern Munich', 'Catégorie:Entraîneur du Chelsea FC', 'Catégorie:Entraîneur du Paris Saint-Germain', 'Catégorie:Entraîneur du Parme Calcio 1913', 'Catégorie:Entraîneur du Real Madrid', 'Catégorie:Entraîneur du SSC Naples', 'Catégorie:Entraîneur italien de football', ""Catégorie:Entraîneur vainqueur de la Ligue des champions de l'UEFA"", 'Catégorie:Footballeur international italien', ""Catégorie:Joueur de l'AC Milan"", ""Catégorie:Joueur de l'AS Rome"", 'Catégorie:Joueur du Parme Calcio 1913', ""Catégorie:Naissance dans la province de Reggio d'Émilie"", 'Catégorie:Naissance en juin 1959', ""Catégorie:Officier de l'ordre de l'Étoile d'Italie"", 'Catégorie:Page en semi-protection longue', 'Catégorie:Page pointant vers des bases externes', 'Catégorie:Page pointant vers des bases relatives au sport', ""Catégorie:Page pointant vers des bases relatives à l'audiovisuel"", 'Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes', 'Catégorie:Page utilisant P1285', 'Catégorie:Page utilisant P2020', 'Catégorie:Page utilisant P2193', 'Catégorie:Page utilisant P2195', 'Catégorie:Page utilisant P2276', 'Catégorie:Page utilisant P2446', 'Catégorie:Page utilisant P2447', 'Catégorie:Page utilisant P2574', 'Catégorie:Page utilisant P3047', 'Catégorie:Page utilisant P3222', 'Catégorie:Page utilisant P345', 'Catégorie:Page utilisant P3537', 'Catégorie:Page utilisant P3538', 'Catégorie:Page utilisant P3655', 'Catégorie:Page utilisant P3665', 'Catégorie:Page utilisant P3726', 'Catégorie:Page utilisant P4342', 'Catégorie:Page utilisant P5019', 'Catégorie:Page utilisant P5750', 'Catégorie:Page utilisant P6316', 'Catégorie:Page utilisant P856', ""Catégorie:Pas d'image locale mais image sur Wikidata"", 'Catégorie:Personne citée dans le scandale des Pandora Papers', 'Catégorie:Portail:Biographie/Articles liés/Sport', 'Catégorie:Portail:Europe/Articles liés', 'Catégorie:Portail:Football/Articles liés', 'Catégorie:Portail:Italie/Articles liés', 'Catégorie:Portail:Sport/Articles liés', 'Catégorie:Portail:Émilie-Romagne/Articles liés', 'Catégorie:Wikipédia:Article biographique']"
