pageid,ns,title
68879305,0,List of people named in the Pandora Papers
164053,0,Abdullah II of Jordan
43558615,0,Luis Abinader
20806009,0,Patrick Achi
25846254,0,Aires Ali
22765442,0,Ilham Aliyev
27919606,0,Ricardo Álvarez Arias
1222313,0,Anil Ambani
55786000,0,Mohamed Amersi
1142794,0,Carlo Ancelotti
1488304,0,María Asunción Aramburuzabala
39721295,0,Nasry Asfura
40378134,0,Andrej Babiš
61319390,0,Ivan Bakanov
20168596,0,Nir Barkat
11117435,0,Andres D. Bautista
271186,0,Cherie Blair
3301347,0,Tony Blair
3149816,0,Ali Bongo Ondimba
148209,0,Miguel Bosé
614426,0,Flavio Briatore
67091575,0,Robert Brockman
59082974,0,Roberto Campos Neto
39048048,0,Horacio Cartes
41382352,0,Aymeric Chauprade
740626,0,Alfredo Cristiani
787936,0,John Dalli
8918937,0,Ángel Di María
37966185,0,Hassan Diab
64687721,0,Jorge Arganis Díaz Leal
10124535,0,Aco Đukanović
498265,0,Milo Đukanović
48561538,0,Jaime Durán Barba
35984069,0,Konstantin Ernst
392360,0,Francisco Flores Pérez
1723582,0,Guy Forget
2213967,0,David Furnish
22254526,0,Rex Gatchalian
162749,0,César Gaviria
23070233,0,Jaime Gilinski Bacal
30367091,0,Isaac Gilinski Sragowicz
2396553,0,Pep Guardiola
58710684,0,Paulo Guedes
56056556,0,Airlangga Hartarto
55783045,0,Wopke Hoekstra
19554473,0,Julio Iglesias
5052197,0,Elton John
575041,0,Uhuru Kenyatta
393754,0,Khalifa bin Salman Al Khalifa
2476921,0,Pedro Pablo Kuczynski
1372968,0,Princess Lalla Hasna of Morocco
33790477,0,Laurent Lamothe
16219873,0,Germán Larrea Mota-Velasco
38481356,0,Guillermo Lasso
1128582,0,Lee Soo-man
1588875,0,Leung Chun-ying
1362558,0,Porfirio Lobo Sosa
54382238,0,Sylvain Maillard
521165,0,Mohammed bin Rashid Al Maktoum
42795837,0,Siniša Mali
628056,0,Ricardo Martinelli
44807420,0,Mohsen Marzouk
35658381,0,Zulema María Eva Menem
30865772,0,Najib Mikati
51543469,0,Nirav Modi
11936239,0,Carlos Morales Troncoso
57537746,0,Yamani Hafez Musa
158608,0,Denis Sassou Nguesso
4474666,0,Peter Obi
68905297,0,List of Pakistanis named in the Pandora Papers
44494216,0,Luhut Binsar Pandjaitan
508869,0,Andrés Pastrana Arango
1861206,0,Ernesto Pérez Balladares
20491896,0,Nicolas Perruchot
1889736,0,Sebastián Piñera
23580714,0,Nirupama Rajapaksa
14625951,0,Marta Lucía Ramírez
3125601,0,Haim Ramon
37022142,0,Enrique K. Razon
25042928,0,Alejandro Santo Domingo
8665754,0,Luis Carlos Sarmiento
38636043,0,Corinna zu Sayn-Wittgenstein-Sayn
88048,0,Claudia Schiffer
6479315,0,Shakira
7188868,0,Satish Sharma
48135556,0,Robert F. Smith (investor)
1409754,0,Masayoshi Son
25832,0,Ringo Starr
32298369,0,Beny Steinmetz
247469,0,Elvis Stojko
1669496,0,Dominique Strauss-Kahn
8962895,0,Swedish House Mafia
34118228,0,Teresita Sy-Coson
1669304,0,Henry Sy
57570,0,Sachin Tendulkar
6146151,0,Tamim bin Hamad Al Thani
9369926,0,Gennady Timchenko
57874639,0,Novica Tončev
44811238,0,Joseph Tsai
50920328,0,Arthur Tugade
89646,0,Tung Chee-hwa
59763999,0,Dennis Uy
23729066,0,Juan Carlos Varela
163278,0,Mario Vargas Llosa
17890004,0,Andrey Vavilov
46958955,0,Olegario Vázquez Aldir
64258,0,Jacques Villeneuve
1814049,0,Daim Zainuddin
59210523,0,Volodymyr Zelensky
35103277,0,Yassir Znagui
68905486,14,Category:Pakistanis named in the Pandora Papers
