pageid,ns,title,references
68879305,0,List of people named in the Pandora Papers,
164053,0,Abdullah II of Jordan,"['http://blog.soirmag.lesoir.be/rue-royale/2011/08/15/le-roi-de-jordanie-a-joue-dans-star-trek/', 'http://www.lesoir.be/93790/article/actualite/fil-info/2012-10-04/roi-jordanie-dissout-parlement-et-convoque-des-%C3%A9lections-anticip%C3%A9es', 'http://www.jordantimes.com/news/local/king-accepts-medal-red-crescent-red-cross-organisation', 'http://www.jordantimes.com/news/local/king-worthy-first-recipient%E2%80%99-kazakh-prize-nuclear-disarmament-efforts-paper-says', 'http://www.timesofisrael.com/jordans-king-abdullah-ii-awarded-peace-prize-in-germany/', 'http://aut.nkp.cz/jo2014830262', 'http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX5218116', 'http://catalogue.bnf.fr/ark:/12148/cb16525679d', 'http://data.bnf.fr/ark:/12148/cb16525679d', 'http://www.idref.fr/155515772', 'http://www.lepoint.fr/culture/fan-de-star-trek-abdallah-ii-accueillera-en-jordanie-son-centre-futuriste-14-08-2011-1362686_3.php', 'http://id.loc.gov/authorities/nr00010766', 'http://uli.nli.org.il/F/?func=direct&doc_number=000366581&local_base=nlx10', 'http://d-nb.info/gnd/138251525', 'http://id.sbn.it/af/IT%5CICCU%5CLO1V%5C395847', 'http://ju.edu.jo/Pages/Honorary-Doctorate-Granted-by-UJ.aspx', 'http://www.kingabdullah.jo/main.php?main_page=0&lang_hmka1=1', 'http://en.ammonnews.net/article.aspx?articleNO=13258#.WjR2yN_ibIU', 'http://www.royalark.net/Jordan/jordan3.htm', 'http://data.bibliotheken.nl/id/thes/p180293540', 'http://isni.org/isni/0000000121427642', 'http://rsf.org/index2014/fr-index2014.php', 'http://viaf.org/viaf/88296844', 'http://www.worldcat.org/identities/lccn-nr00-010766', 'http://nukat.edu.pl/aut/n%202012050472', 'http://www.leaders.com.tn/article/18226-beji-caid-essebsi-en-jordanie-le-sens-d-une-visite', 'http://www.president.gov.ua/documents/13746.html', 'http://zakon1.rada.gov.ua/laws/show/366/2002', 'http://www.gettyimages.co.uk/event/king-abdullah-of-jordan-accepts-honorary-degree-from-georgetown-university-52447748#king-abdullah-ii-of-jordan-shakes-hands-with-georgetown-university-picture-id52464079', 'https://cantic.bnc.cat/registre/981058514461306706', 'https://www.arabiaweddings.com/luxury/real-weddings/king-abdulla-ii-and-queen-ranias-wedding', 'https://www.vanitatis.elconfidencial.com/casas-reales/2016-05-18/duelo-reinas-rania-jordania-matilde-belgica_1202279/', 'https://francais.rt.com/international/91315-pandora-papers-chefs-detat-gouvernement-accuses-evasion-fiscale', 'https://www.lefigaro.fr/international/jordanie-un-ancien-conseille-du-roi-arrete-lors-d-une-operation-de-securite-20210403', 'https://www.lefigaro.fr/international/jordanie-vague-d-arrestation-un-demi-frere-du-roi-appele-a-arreter-ses-activites-nuisibles-au-royaume-20210403', 'https://www.lemonde.fr/international/article/2021/06/02/en-jordanie-l-aspiration-febrile-a-un-nouveau-contrat-social_6082437_3210.html', 'https://www.lepoint.fr/monde/jordanie-l-ancien-prince-heritier-assigne-a-residence-04-04-2021-2420648_24.php', 'https://www.liberation.fr/international/pandora-papers-le-roi-de-jordanie-sur-la-defensive-apres-les-revelations-sur-sa-fortune-immobiliere-20211004_7FFQVBNFNRAZ5C5PQSOR3N4UJQ/', 'https://www.odilejacob.fr/catalogue/documents/derniere-chance_9782738124500.php', 'https://kingabdullah.jo/en/news/islam-reviles-aggression-against-innocents-king', 'https://kingabdullah.jo/en/news/king-abdullah-ii-reiterates-condemnation-terrorism', 'https://kingabdullah.jo/en/news/king-and-queen-leave-madrid', 'https://kingabdullah.jo/en/news/king-calls-peace-eve-1967-war-anniversary', 'https://kingabdullah.jo/en/news/king-queen-receive-peacemaker-award', 'https://kingabdullah.jo/en/news/king-receives-simon-wiesenthal-center-delegation', 'https://kingabdullah.jo/en/news/king-receives-us-achievement-academys-award', 'https://kingabdullah.jo/en/news/king-returns-home-22', 'https://kingabdullah.jo/en/news/king-starts-visit-united-states', 'https://kingabdullah.jo/en/speeches/upon-accepting-young-presidents-organisations-global-leadership-award', 'https://kingabdullah.jo/en/speeches/upon-receiving-golden-medal-athens-award', 'https://lematin.ma/journal/2015/biographie-de-sm-le-roi-abdallah-ii-de-jordanie/219421.html', 'https://www.wikidata.org/wiki/Q57464?uselang=fr#identifiers', 'https://commons.wikimedia.org/wiki/Category:Abdullah_II_of_Jordan?uselang=fr', 'https://www.worldcat.org/identities/lccn-nr00010766', 'https://books.google.tn/books?id=GhSge_Tq09sC&pg=PA165&dq=queen+rania+born+in+Kuwait+in+1970&hl=en&sa=X&ved=0ahUKEwiuy_m79pjYAhUD6RQKHZlUA7cQ6AEIJDAA#v=onepage&q=queen%20rania%20born%20in%20Kuwait%20in%201970&f=false']"
43558615,0,Luis Abinader,"['https://newsbeezer.com/perueng/ppk-acquired-an-offshore-company-to-provide-financial-advice-as-minister-of-economy-pandora-papers-politics/', 'https://acento.com.do/politica/raquel-pena-de-antuna-academica-y-miembro-de-varios-organos-empresariales-8792249.html', 'https://www.lemonde.fr/international/article/2020/07/06/l-opposant-luis-abinader-vainqueur-de-la-presidentielle-en-republique-dominicaine_6045402_3210.html', 'https://www.telesurenglish.net//news/Pandora-Papers-Pinera-Lasso-and-Abinader-Deny-All-Allegations-20211004-0012.html', 'https://web.archive.org/web/20090120022445/http://genealogy.com/users/n/u/n/Milciades-H-Nunez/FILE/0001page.html', 'https://www.icij.org/investigations/pandora-papers/power-players/']"
20806009,0,Patrick Achi,"['https://www.mcacotedivoire.ci/', 'https://www.pressecotedivoire.ci/article/7030-cote-divoire-leger-reamenagement-de-lequipe-gouvernementale', 'https://www.jeuneafrique.com/1024026/politique/cote-divoire-le-gouvernement-dhamed-bakayoko-legerement-reajuste/', 'https://www.jeuneafrique.com/1133320/politique/cote-divoire-patrick-achi-nomme-premier-ministre-interimaire/', 'https://www.jeuneafrique.com/1145558/politique/cote-divoire-abdourahmane-cisse-nomme-secretaire-general-de-la-presidence/', 'https://www.jeuneafrique.com/1149834/politique/nouveau-gouvernement-en-cote-divoire-pas-de-grand-chamboulement/', 'https://www.jeuneafrique.com/694889/politique/cote-divoire-lancement-du-pdci-renaissance-vers-une-guerre-ouverte-entre-bedie-et-duncan/', 'https://www.jeuneafrique.com/758907/politique/cote-divoire-daniel-kablan-duncan-et-patrick-achi-exclus-temporairement-du-pdci/', 'https://www.jeuneafrique.com/mag/793195/politique/cote-divoire-des-transfuges-du-parti-dhenri-konan-bedie-promus-au-rhdp-dalassane-ouattara/', 'https://www.jeuneafrique.com/mag/799685/politique/cote-divoire-dix-choses-a-savoir-sur-patrick-achi-lun-des-hommes-cles-dalassane-ouattara/', 'https://www.koaci.com/article/2020/08/03/cote-divoire/politique/cote-divoire-presidence-et-gouvernement-patrick-achi-nomme-ministre-detat-dautres-nominations_143687.html', 'https://www.linfodrome.com/vie-politique/46335-conseil-regional-de-la-me-apres-sa-reelection-patrick-achi-remercie-les-populations-d-adzope-ce-samedi', 'https://www.lemonde.fr/les-decodeurs/article/2021/10/03/pandora-papers-plongee-mondiale-dans-les-secrets-de-la-finance-offshore_6096967_4355770.html', 'https://www.lopinion.fr/edition/international/en-cote-d-ivoire-alassane-ouattara-a-l-epreuve-choix-succession-220171', 'https://www.rfi.fr/fr/afrique/20200709-disparition-amadou-gon-coulibaly-quelles-cons%C3%A9quences-presidentielle', 'https://www.rfi.fr/fr/afrique/20210327-quel-gouvernement-pour-le-nouveau-premier-ministre-ivoirien-patrick-achi', 'https://www.rfi.fr/fr/afrique/20211004-cit%C3%A9-dans-les-pandora-papers-le-premier-ministre-ivoirien-d%C3%A9ment-toute-action-illicite', 'https://www.rfi.fr/fr/en-bref/20210326-c%C3%B4te-d-ivoire-patrick-achi-nomm%C3%A9-officiellement-premier-ministre-par-le-pr%C3%A9sident-ouattara', 'https://www.lintelligentdabidjan.info/news/achi-patrick-directeur-national-de-campagne-charge-du-projet-de-societe-la-seule-personne-qui-nous-a-fait-monter-ou-nous-sommes-cest-alassane-ouattara/', 'https://www.ivoirebusiness.net/articles/coup-de-tonnerrepandora-papers-patrick-achi-reste-muet-devant-les-enqueteurs-du-consortium', 'https://projects.icij.org/investigations/pandora-papers/power-players/en/player/patrick-achi']"
25846254,0,Aires Ali,"['http://allafrica.com/stories/201001180720.html', 'https://www.dw.com/pt-002/ex-ministro-mo%C3%A7ambicano-aires-ali-%C3%A9-citado-no-esc%C3%A2ndalo-pandora-papers/a-59403920']"
22765442,0,Ilham Aliyev,"['http://azertag.az/en/xeber/CEREMONY_OF_PRESENTING_ORDERS_GRAND_CROSS_OF_LEGION_OF_HONOR_AND_HEYDAR_ALIYEV-564552', 'http://www.mfa.gov.az/en/content/560', 'http://newtimes.az/en/organisations/4321/', 'http://archive.president.az/articles.php?item_id=20070811102231315&sec_id=14', 'http://en.president.az/', 'http://en.president.az/articles/18257', 'http://en.president.az/articles/18866', 'http://en.president.az/articles/23951', 'http://en.president.az/articles/24032', 'http://en.president.az/articles/25667', 'http://en.president.az/articles/7811', 'http://en.president.az/articles/8508', 'http://en.president.az/president/biography', 'http://www.zarifa-aliyeva.az/en/node/116', 'http://www.lalibre.be/actu/international/en-azerbaidjan-le-president-nomme-pour-vice-president-sa-femme-58ad52c3cd7025157112276d', 'http://www.chinadaily.com.cn/en/doc/2003-12/16/content_290650.htm', 'http://www.chinadaily.com.cn/xinhua/2013-10-23/content_10394963.html', 'http://afp.google.com/article/ALeqM5jTtRwp-FUvPLV8vIPjNa8hzUyX4w', 'http://aut.nkp.cz/js20060519028', 'http://catalogue.bnf.fr/ark:/12148/cb17130616z', 'http://data.bnf.fr/ark:/12148/cb17130616z', 'http://www.lefigaro.fr/international/2018/04/11/01003-20180411ARTFIG00108-azerbaidjan-aliyev-un-president-riche-et-inoxydable.php', 'http://www.leparisien.fr/flash-actualite-monde/azerbaidjan-l-osce-et-l-opposition-critiquent-la-presidentielle-16-10-2008-278465.php', 'http://www.slate.fr/story/78864/azerbaidjan-ilham-aliyev-reelection-stabilite', 'http://id.loc.gov/authorities/n2004100586', 'http://d-nb.info/gnd/133179346', 'http://assembly.coe.int/nw/xml/News/News-View-EN.asp?newsid=6824&lang=2&cat=8', 'http://www.democracyweb.org/elections/azerbaijan.php', 'http://www.eurasianet.org/departments/insight/articles/eav052108a.shtml', 'http://www.eurasianet.org/departments/insight/articles/eav101408.shtml', 'http://www.eurasianet.org/node/62487', 'http://heydar-aliyev-foundation.org/en/content/index/65/Bioqrafiya', 'http://hrw.org/english/docs/2003/10/13/azerba6448.htm', 'http://www.indexoncensorship.org/tag/president-ilham-aliyev/', 'http://isni.org/isni/0000000035134130', 'http://www.osce.org/documents/odihr/2003/11/1151_en.pdf', 'http://www.osce.org/odihr/elections/106908', 'http://www.osce.org/odihr/elections/75250', 'http://en.rsf.org/press-freedom-index-2011-2012,1043.html', 'http://viaf.org/viaf/20866416', 'http://databank.worldbank.org/data/Views/Reports/ReportWidgetCustom.aspx?Report_Name=CountryProfile&Id=b450fd57&tbar=y&dd=y&inf=n&zm=n&country=AZE', 'http://www.worldcat.org/identities/lccn-n2004-100586', 'http://mtv.re/rerktf', 'http://www.blic.rs/vesti/politika/nikolic-ordenja-deli-u-tri-smene/3hhsd92', 'http://en.kremlin.ru/events/president/news/33543', 'http://fr.rian.ru/world/20081019/117821893.html', 'http://libris.kb.se/auth/356398', 'http://zakon2.rada.gov.ua/laws/show/458/2008', 'https://www.letemps.ch/opinions/ilham-aliev-lindeboulonnable-dictateur-lazerbaidjan-reelu', 'https://www.bbc.com/news/world-58780465', 'https://www.bbc.com/news/world-europe-24455367', 'https://fr.euronews.com/next/2015/05/20/le-dialogue-interculturel-a-l-honneur-a-bakou', 'https://books.google.com/?id=7KIY4MF6HaEC&pg=PA184&lpg=PA184&dq=Azerbaijan#v=onepage&q=Azerbaijan&f=false', 'https://www.nytimes.com/2017/02/15/world/europe/russia-azerbaijan-general-dunford.html', 'https://eeas.europa.eu/headquarters/headquarters-homepage/330/european-neighbourhood-policy-enp_en', 'https://eeas.europa.eu/headquarters/headquarters-homepage/419/eastern-partnership_en', 'https://www.20minutes.fr/monde/2127267-20170905-caviargate-enquete-denonce-corruption-menee-azerbaidjan-acheter-soutiens-etranger', 'https://www.francetvinfo.fr/monde/l-azerbaidjan-s-est-achete-des-soutiens-a-l-etranger-revele-une-enquete-de-journaux-europeens_2357831.html', 'https://www.lemonde.fr/actualite-medias/article/2018/09/19/l-azerbaidjan-qualifie-de-dictature-par-cash-investigation-un-etat-ne-peut-pas-poursuivre-en-diffamation-dit-la-justice-francaise_5357458_3236.html', 'https://www.lemonde.fr/international/article/2021/03/18/la-dissidence-azerbaidjanaise-craint-pour-sa-securite-en-france_6073608_3210.html', 'https://www.lemonde.fr/international/article/2021/04/13/en-azerbaidjan-la-sextape-devient-un-instrument-de-repression_6076607_3210.html', 'https://www.liberation.fr/planete/2018/04/09/l-azerbaidjan-est-une-dictature-mais-ca-ne-derange-pas-l-europe_1642222', 'https://www.monde-diplomatique.fr/2012/12/DESCAMPS/48479', 'https://georgewbush-whitehouse.archives.gov/news/releases/2006/04/20060428.html', 'https://www.defense.gov/News/Article/Article/1085746/dunford-meets-russian-counterpart-to-strengthen-mil-to-mil-contacts/', 'https://history.state.gov/departmenthistory/visits/azerbaijan', 'https://az.usembassy.gov/president-azerbaijan-ilham-aliyev-met-president-donald-trump/', 'https://kopkatalogs.lv/F/?func=direct&local_base=lnc10&doc_number=000122133', 'https://freedomhouse.org/report/nations-transit/2006/azerbaijan', 'https://www.occrp.org/en/panamapapers/persons/ilhamaliyev/', 'https://www.occrp.org/en/poy/2012/', 'https://www.occrp.org/en/the-pandora-papers/azerbaijans-ruling-aliyev-family-and-their-associates-acquired-dozens-of-prime-london-properties-worth-nearly-700-million', 'https://www.oic-oci.org/topic/?t_id=8169&ref=3298&lan=en', 'https://www.rferl.org/a/1103981.html', 'https://www.rferl.org/a/1143036.html', 'https://www.rferl.org/a/azerbaijan-opposition-rally-baku/28821302.html', 'https://www.rferl.org/a/azerbaijan-president-sets-snap-parliamentary-elections-for-february/30309391.html', 'https://www.wikidata.org/wiki/Q57371?uselang=fr#identifiers', 'https://data.worldbank.org/country/azerbaijan', 'https://www.worldcat.org/identities/lccn-n2004100586', 'https://www.worldcat.org/issn/0362-4331&lang=fr', 'https://mospat.ru/en/2010/04/24/news17270/']"
27919606,0,Ricardo Álvarez Arias,"['http://ici.radio-canada.ca/nouvelle/1074427/mort-12-manifestants-honduras-respect-droits-fondamentaux-election-hernandez-nasralla', 'http://www.latercera.com/noticia/ex-capo-del-narcotrafico-implica-al-hermano-del-presidente-honduras/', 'http://www.lefigaro.fr/international/2017/12/05/01003-20171205ARTFIG00340-honduras-qui-sont-les-deux-candidats-qui-se-disputent-la-presidence.php', 'http://www.liberation.fr/monde/2013/11/28/presidentielle-au-honduras-le-candidat-de-droite-reconnu-vainqueur_962602', 'http://www.liberation.fr/planete/2017/12/05/presidentielle-au-honduras-30-des-bulletins-vont-etre-verifies_1614498', 'http://www.rfi.fr/ameriques/20150606-honduras-population-manifestation-juan-orlando-hernandez-corruption', 'http://www.rfi.fr/ameriques/20180127-honduras-prestation-serment-hernandez-tensions', 'http://www.medelu.org/Au-Honduras-le-pays-des-coups-d', 'http://www.medelu.org/Au-Honduras-simulacre-de-mesures', 'https://apnews.com/article/noticias-473f53c9b241e10feee8c262bd0d79cd', 'https://jacobinmag.com/2021/03/honduras-abortion-ban-constitutional-amendment', 'https://www.nouvelobs.com/monde/20191010.AFP6331/honduras-la-police-disperse-une-manifestation-contre-le-president.html', 'https://www.lemonde.fr/ameriques/article/2013/11/25/confusion-au-honduras-apres-le-premier-tour-de-la-presidentielle_3519626_3222.html', 'https://www.lemonde.fr/ameriques/article/2013/11/27/honduras-juan-orlando-hernandez-un-futur-president-a-poigne_3521183_3222.html', 'https://www.lemonde.fr/ameriques/article/2018/01/07/manifestation-massive-contre-la-reelection-du-president-au-honduras_5238379_3222.html', 'https://www.lemonde.fr/international/article/2019/10/02/le-frere-du-president-hondurien-juge-pour-trafic-de-drogue-a-new-york_6013951_3210.html', 'https://www.lepoint.fr/monde/au-honduras-la-pire-crise-politique-depuis-le-coup-d-etat-de-2009--27-06-2019-2321455_24.php#', 'https://www.lepoint.fr/monde/honduras-nouvelle-journee-de-mobilisation-des-pro-et-anti-hernandez-07-08-2019-2328650_24.php', 'https://www.lepoint.fr/monde/le-frere-du-president-hondurien-reconnu-coupable-de-trafic-de-drogue-a-new-york-18-10-2019-2342145_24.php', 'https://www.monde-diplomatique.fr/2018/01/MAIN/58277', 'https://www.jornada.com.mx/ultimas/mundo/2019/10/02/hermano-del-presidente-de-honduras-a-juicio-en-eu-por-narcotrafico-7932.html', 'https://www.jornada.com.mx/ultimas/mundo/2019/10/07/2018el-chapo2019-aporto-a-campana-de-presidente-de-honduras-testigo-8883.html', 'https://www.jornada.com.mx/ultimas/mundo/2019/10/09/exigen-en-honduras-renuncia-del-presidente-por-vinculos-con-el-narco-3097.html', 'https://www.jornada.com.mx/ultimas/mundo/2019/10/18/hermano-del-presidente-de-honduras-hallado-culpable-de-narcotrafico-1680.html', 'https://www.worldcat.org/issn/1950-6244&lang=fr']"
1222313,0,Anil Ambani,"['http://www.iloveindia.com/economy-of-india/top-50-companies/reliance-adag.html', 'http://id.loc.gov/authorities/n2005207679', 'http://d-nb.info/gnd/1060765462', 'http://isni.org/isni/0000000448859156', 'http://viaf.org/viaf/6813033', 'http://www.worldcat.org/identities/lccn-n2005-207679', 'https://www.lemonde.fr/asie-pacifique/article/2018/11/23/contrats-de-rafale-a-l-inde-sherpa-reclame-une-enquete-du-pnf-sur-des-soupcons-de-corruption_5387867_3216.html', 'https://www.lemonde.fr/economie/article/2015/05/04/facebook-redefinit-son-internet-pour-les-pauvres-en-inde_4626704_3234.html', 'https://www.lemonde.fr/economie/article/2019/04/13/comment-la-france-a-efface-la-dette-fiscale-d-un-industriel-indien-associe-de-dassault_5449659_3234.html', 'https://www.lesechos.fr/monde/asie-pacifique/les-milieux-daffaires-au-coeur-des-elections-en-inde-1013265', 'https://theprint.in/india/anil-ambani-tendulkar-among-indians-who-parked-funds-in-offshore-firms-pandora-papers-reveal/744877/', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#P106', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#P19', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#P22', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#P26', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#P27', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#P3373', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#P40', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#P569', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#P69', 'https://www.wikidata.org/wiki/Q381748?uselang=fr#identifiers', 'https://www.worldcat.org/identities/lccn-n2005207679', 'https://www.worldcat.org/issn/1950-6244&lang=fr']"
55786000,0,Mohamed Amersi,
1142794,0,Carlo Ancelotti,"['http://www.acmilan.com/en/archive/show_player/Carlo-Ancelotti', 'http://lefootselontrifon.blogspot.com/2012/05/carlo-ancelotti-avec-le-maillot-de.html', 'http://www.chelseafc.com/page/LatestNews/0,,10268~2328971,00.html', 'http://www.culturepsg.com/news/divers/notre-critique-de-mes-secrets-dentraineur-le-livre-de-carlo-ancelotti/6876', 'http://fr.fifa.com/ballon-dor/coach-of-the-year/index.html', 'http://www.indianexpress.com/news/chelsea-coach-ancelotti-has-starred-in-three/470545/', 'http://www.purepeople.com/article/carlo-ancelotti-marie-et-heureux-sa-ceremonie-discrete-avec-la-belle-mariann_a144274/1', 'http://www.rsssf.com/miscellaneous/ancelotti-intl.html', 'http://www.soccerbase.com/managers/manager.sd?manager_id=1759', 'http://www.topmercato.com/99508,1/real-madrid-ancelotti-meilleur-entraineur-en-2014.html', 'http://aut.nkp.cz/xx0212798', 'http://www.leballonrond.fr/coach.php?id=101', 'http://www.leballonrond.fr/player.php?id=14923', 'http://www.leparisien.fr/psg-foot-paris-saint-germain/makelele-monte-en-grade-31-12-2011-1790669.php', 'http://www.leparisien.fr/sports/football/football-heynckes-72-ans-dit-oui-au-bayern-06-10-2017-7313010.php', 'http://www.lexpress.fr/actualites/1/actualite/carlo-ancelotti-nomme-entraineur-du-psg_1066650.html', 'http://www.paristeam.fr/club/paul-clement-a-ete-presente-64404.html', 'http://www.telefoot.fr', 'http://id.loc.gov/authorities/no2010169051', 'http://d-nb.info/gnd/1102255572', 'http://www.carloancelotti.it', 'http://www.gazzetta.it/Calcio/Bundesliga/16-08-2016/bayern-monaco-ancelotti-rinnega-guardiola-vince-senza-possesso-palla-supercoppa-borussia-160782365570.shtml', 'http://id.sbn.it/af/IT%5CICCU%5CLO1V%5C357674', 'http://id.ndl.go.jp/auth/ndlna/01199004', 'http://www.footmercato.net/ligue1/le-psg-roi-d-un-money-time-qui-rapporte-gros_82070', 'http://isni.org/isni/0000000097751636', 'http://viaf.org/viaf/144673940', 'http://www.worldcat.org/identities/lccn-no2010-169051', 'http://nukat.edu.pl/aut/n%202014176777', 'http://mak.bn.org.pl/cgi-bin/KHW/makwww.exe?BM=01&IM=05&TX=&NU=01&WI=A31716179', 'https://www.lematin.ch/story/guardiola-ancelotti-et-di-maria-eclabousses-par-les-pandora-papers-210419063588', 'https://www.bbc.com/sport/football/32935485.amp', 'https://www.bdfutbol.com/en/j/j95279.html', 'https://www.expansion.com/economia/2020/06/22/5ef08820468aeb625e8b45ed.html', 'https://fbref.com/fr/joueurs/88a8eea5/', 'https://fcbayern.com/en/news/2017/09/press-release-bayern-and-ancelotti-part-company', 'https://fr.football-news24.com/premier-league/officiel-carlo-ancelotti-est-le-nouveau-manager-deverton/', 'https://www.goal.com/es/noticias/guardiola-supera-a-klopp-simeone-y-mourinho-en-la-lista-de/1jbr558307x54135datvbo2hue', 'https://www.imdb.com/name/nm0025800/', 'https://www.ledauphine.com/sport/2020/06/22/carlo-ancelotti-poursuivi-pour-fraude-fiscale-en-espagne', 'https://www.national-football-teams.com/player/15221.html', 'https://www.realmadrid.com/fr/actualites/2021/06/01/communique-officiel-ancelotti', 'https://www.soccerbase.com/players/player.sd?player_id=1759', 'https://fr.uefa.com/uefachampionsleague/clubs/players/43192', 'https://www.youtube.com/watch?v=jkZK5mBfKY4', 'https://brockhaus.de/ecs/enzy/article/ancelotti-carlo', 'https://www.fussballdaten.de/person/ancelotticarlo/', 'https://www.munzinger.de/search/go/document.jsp?id=01000006204', 'https://www.abc.es/deportes/futbol/abci-50-mejores-entrenadores-historia-futbol-201903191710_noticia.html', 'https://www.footballdatabase.eu/fr/joueur/details/2345', 'https://www.francefootball.fr/magazine/?prov=W-HP-LBMU', 'https://www.francefootball.fr/news/Carlo-ancelotti-elu-entraineur-du-mois-d-avril/556741', 'https://m.lequipe.fr', 'https://m.lequipe.fr/Football/Actualites/Carlo-ancelotti-nouvel-entraineur-de-naples/903907', 'https://www.lequipe.fr/Football/20100510_155642_chelsea-a-chasse-le-blues.html', 'https://www.lequipe.fr/Football/Actualites/Ancelotti-n-a-pas-senti-la-confiance/401702', 'https://www.lequipe.fr/Football/Actualites/Ancelotti-officiellement-nomme/381272', 'https://www.lequipe.fr/Football/Actualites/Everton-carlo-ancelotti-arrive-avec-de-l-ambition/1093074', 'https://www.lequipe.fr/Football/Actualites/Italie-gennaro-gattuso-nomme-entraineur-de-naples/1089118', 'https://www.lequipe.fr/Football/Actualites/Naples-carlo-ancelotti-choque-par-l-etat-des-vestiaires-de-san-paolo/1058096', 'https://www.lequipe.fr/Football/Actualites/Naples-carlo-ancelotti-a-ete-licencie/1088887', 'https://www.lequipe.fr/Football/Actualites/Naples-pique-sa-crise-apres-la-ligue-des-champions/1077199', 'https://www.lequipe.fr/Football/Actualites/Premier-league-ancelotti-reussit-ses-debuts-avec-everton-arteta-fait-nul-avec-arsenal/1093546', 'https://www.lequipe.fr/Football/Actualites/Premier-league-carlo-ancelotti-entraineur-d-everton-jusqu-en-2024/1092426', 'https://www.lequipe.fr/Football/FootballFicheJoueur10186.html', 'https://www.lequipe.fr/Football/breves2009/20090527_232324_dixieme-coupe-pour-le-barca.html', 'https://www.lequipe.fr/Hippisme/Actualites/carlo-ancelotti-recrute-pour-sa-team-cheval-de-course/942831', 'https://www.mondefootball.fr/fiche_du_joueur/carlo-ancelotti', 'https://www.tf1.fr/tf1/telefoot/news/bayern-munich-guardiola-sera-remplace-ancelotti-l-ete-prochain-3643262.html', 'https://www.transfermarkt.fr', 'https://www.transfermarkt.fr/carlo-ancelotti/nationalmannschaft/spieler/116679', 'https://www.transfermarkt.fr/spielbericht/index/spielbericht/946089', 'https://www.transfermarkt.fr/transfermarkt/profil/spieler/116679', 'https://www.transfermarkt.fr/transfermarkt/profil/trainer/523', 'https://eu-football.info/_player.php?id=457', 'https://nl.go.kr/authorities/resource/KAC201607735', 'https://www.foxsports.com.mx/news/400382-los--mejores-entrenadores-de-la-historia', 'https://snl.no/Carlo_Ancelotti', 'https://www.wikidata.org/wiki/Q174614?uselang=fr#P856', 'https://www.wikidata.org/wiki/Q174614?uselang=fr#identifiers', 'https://commons.wikimedia.org/wiki/Category:Carlo_Ancelotti?uselang=fr', 'https://tools.wmflabs.org/wikidata-externalid-url/?p=345&url_prefix=https://www.imdb.com/&id=nm0025800', 'https://www.worldcat.org/identities/lccn-no2010169051', 'https://www.worldcat.org/issn/1018-3736&lang=fr', 'https://www.ne.se/uppslagsverk/encyklopedi/l%C3%A5ng/carlo-ancelotti']"
