pageid,ns,title,summary
68879305,0,List of people named in the Pandora Papers,
164053,0,Abdullah II of Jordan,"Abdallah II (arabe : الملك عبد الله الثانى), né le 30 janvier 1962 à Amman, est roi de Jordanie depuis le 7 février 1999, date à laquelle il a succédé à son père, le roi Hussein.
Abdallah n'était pas destiné à devenir roi, le prince héritier étant, depuis 1965, Hassan, frère du roi Hussein. Mais le 24 janvier 1999, treize jours avant son décès, le roi Hussein a désigné Abdallah pour lui succéder, en exigeant qu’il choisisse à son tour comme successeur son autre fils Hamzah, alors âgé de dix-huit ans et fils de la reine Noor."
43558615,0,Luis Abinader,"Luis Rodolfo Abinader Corona, né le 12 juillet 1967 à Saint-Domingue, est un homme d'État dominicain. Membre du Parti révolutionnaire dominicain puis du Parti révolutionnaire moderne, il est président de la République depuis le 16 août 2020.
Selon l'enquête basée sur les Pandora Papers, il est le personnage public le plus riche de la République dominicaine (plus de 70 millions de dollars selon sa déclaration publique de patrimoine, déposée un mois après son élection à la présidence en 2020).

"
20806009,0,Patrick Achi,"Patrick Achi, né le 17 novembre 1955 à Paris, est un homme d'État ivoirien. Il est Premier ministre depuis mars 2021.
Initialement membre du PDCI d'Henri Konan Bédié, il est ministre des Infrastructures économiques entre 2000 et 2017 et président du conseil régional de la Mé depuis 2013.
Il devient ensuite un soutien d’Alassane Ouattara, qui le nomme secrétaire général de la présidence en 2017 ainsi que ministre d'État en 2020. Il prend la tête du gouvernement en 2021, d’abord par intérim à la suite de la mort de Hamed Bakayoko puis de plein exercice."
25846254,0,Aires Ali,"Aires Ali (né le 6 décembre 1955 à Unango (pt) dans l'actuel district de Sanga de la province de Niassa) est un homme politique mozambicain. Gouverneur de la province d'Inhambane (2000-2004) puis ministre de l'Éducation (2005-2010), il a occupé les fonctions de Premier ministre du 16 janvier 2010 au 8 octobre 2012.
Il a été gouverneur de la province d'Inhambane de 2000 à 2004 et ministre de l'Éducation de 2005 à 2010. Il a été nommé ambassadeur en Chine en juin 2016 par le président Filipe Nyusi.
En octobre 2021, son nom est cité dans les Pandora Papers.

"
22765442,0,Ilham Aliyev,"Ilham Aliyev – İlham Əliyev en azéri ou Ilham Aliev (en russe : Ильхам Гейдарович Алиев ou Ильхам Гейдар оглу Алиев), translittéré en Ilkham Aliev – né le 24 décembre 1961 à Bakou, est un homme d'État azéri, président de la République d'Azerbaïdjan depuis le 31 octobre 2003.
Il devient chef de l’État de son pays à la suite du désistement de son père, le président Heydar Aliyev, à l'élection présidentielle de 2003, avant d’être réélu président en 2008, 2013 et 2018. Avec le soutien turc, il lance en 2020 une guerre de 44 jours contre l'Arménie, récupérant ainsi partiellement le Haut-Karabagh, perdu lors d'une précédente guerre.
Son régime est souvent qualifié d'autoritaire,,, voire de dictatorial,,.

"
27919606,0,Ricardo Álvarez Arias,"Juan Orlando Hernández, né le 28 octobre 1968 à Gracias (Honduras), est un homme d'État hondurien, président de la République depuis 2014."
1222313,0,Anil Ambani,"Anil Ambani est un homme d'affaires indien né le 4 juin 1959. Il dirige le groupe Reliance Anil Dhirubhai Ambani (active dans les télécommunications, les médias, la santé, l'énergie, la finance ou la construction).

"
55786000,0,Mohamed Amersi,
1142794,0,Carlo Ancelotti,"Carlo Ancelotti, né le 10 juin 1959 à Reggiolo (Italie), est un footballeur international italien, reconverti comme entraîneur. Il est l'actuel entraîneur du Real Madrid.
Surnommé Carletto ou « Il mister », le milieu de terrain connaît une brillante carrière à l'AS Rome, où il porte le brassard de capitaine et remporte un titre de champion d'Italie et quatre coupes nationales. Parti à l'AC Milan, il remporte en cinq ans deux nouveaux scudetti (championnats de Serie A) et deux coupes d'Europe. Appelé à vingt-six reprises en équipe d'Italie, il participe à l'Euro 88 et à la Coupe du monde 1990, terminée à la troisième place.
Devenu entraîneur, il dirige successivement l'AC Reggiana, Parme et la Juventus, avant d'être appelé en 2001 à la barre de l'AC Milan, avec lequel il connaît de grands succès : il remporte le championnat en 2004, mais surtout la Ligue des champions à deux reprises (en 2003 et en 2007). Il devient ainsi le sixième footballeur à remporter la C1 comme joueur puis comme entraineur.
De 2009 à 2011, il entraîne le club anglais de Chelsea, où il remporte dès sa première saison un historique doublé Coupe-Championnat. Il est le second entraineur non-britannique, après Arsène Wenger, à réaliser cette performance. Il est limogé en mai 2011 après une saison sans titre.
Après un passage au Paris Saint-Germain ponctuée d'un titre de champion de France, il devient à partir du 25 juin 2013 l'entraîneur du Real Madrid où il remporte notamment une nouvelle Ligue des champions en 2014. Toutefois, il est démis de ses fonctions le 25 mai 2015 par le président du Real Madrid Florentino Pérez, après une année 2015 sans titre. Le 1er juillet 2016 il est l'entraîneur du  Bayern Munich, il est démis de ses fonctions le 28 septembre 2017.
Le 23 mai 2018 il devient officiellement l'entraineur du SSC Naples.
Il est démis de ses fonctions le 10 décembre 2019 malgré la qualification de son équipe en huitièmes de finale de Ligue des champions. Le 21 décembre 2019, il rebondit à Everton où il y sera l'entraîneur pendant 2 saisons. Le 1er juin 2021, il fait son retour au Real Madrid.

"
1488304,0,María Asunción Aramburuzabala,"María Asunción Aramburuzabala Larregui (née le 2 mai 1963) est une femme d'affaires mexicaine milliardaire. Elle est présidente de Tresalia Capital, et possède un patrimoine de plus de 5 milliards de dollars."
